,ORF,Ribo_Prints,RNA_Prints
357,YBR101C,179.8506803,99.04218367
358,YBR102C,78.87712196,24.7335021
359,YBR103C-A,0.0,0.0
360,YBR103W,82.10872942,69.58604696
361,YBR104W,50.46223633,56.512304799999995
362,YBR105C,32.76768593,46.70438413
363,YBR106W,195.0977618,394.6891129
364,YBR107C,19.34092681,0.0
365,YBR108W,26.34895251,46.49746598
366,YBR109C,80.36939183,252.01433219999996
367,YBR109W-A,15.85955999,0.0
368,YBR110W,42.29215997,71.58225275
369,YBR111C,112.79428440000001,29.23050248
370,YBR111W-A,0.0,227.21442140000002
371,YBR112C,109.7212578,50.84354207
372,YBR113W,0.0,0.0
373,YBR114W,30.07501894,51.43977175
374,YBR115C,93.07387143,45.03134123
375,YBR116C,3.379167611,4.816389613999999
376,YBR117C,20.05699485,1.242939255
377,YBR118W,4092.709099,5943.765281
378,YBR119W,3.978150499,11.34026183
379,YBR120C,0.0,62.40622616
380,YBR121C,251.0701301,164.9685544
381,YBR121C-A,44.88554714,95.96429117
382,YBR122C,80.18878646,114.294549
383,YBR123C,73.19796918,49.55694421
384,YBR124W,0.0,0.0
385,YBR125C,75.47379436,34.42373897
386,YBR126C,335.736653,259.7743043
387,YBR126W-A,405.1083258,675.6906008999999
388,YBR126W-B,557.5626557999999,370.8620003
389,YBR127C,580.9558895,582.5785862
390,YBR128C,17.23865216,9.828226922
391,YBR129C,14.46160485,5.153097702
392,YBR130C,53.05134503,51.73661707
393,YBR131C-A,0.0,0.0
394,YBR131W,23.62062126,14.42867357
395,YBR132C,27.89369847,11.35925725
396,YBR133C,50.27940214,16.3803782
397,YBR134W,4.438309698,0.0
398,YBR135W,7.877264895,44.9104409
399,YBR136W,13.55660995,4.293885548
400,YBR137W,66.08149995,84.7684572
401,YBR138C,6.7969542810000005,12.91709824
402,YBR139W,105.15916499999999,196.5162662
403,YBR140C,53.07030258,26.3102874
404,YBR141C,14.07653253,25.07942521
405,YBR141W-A,0.0,0.0
406,YBR142W,107.5745348,24.09439352
407,YBR143C,228.11695869999997,274.82011239999997
408,YBR144C,0.0,0.0
409,YBR145W,152.0625425,240.8194807
410,YBR146W,29.84325804,157.9913898
411,YBR147W,12.01481817,0.0
412,YBR148W,0.0,0.0
413,YBR149W,196.5206346,181.82219809999998
414,YBR150C,66.90264918,29.41736414
415,YBR151W,240.1447569,246.01571180000002
416,YBR152W,28.51461984,0.0
417,YBR153W,14.56490203,41.51924434
418,YBR154C,159.69695819999998,211.92114300000003
419,YBR155W,30.81520723,30.74503629
420,YBR156C,5.10500858,7.276262421
421,YBR157C,83.63439837,99.33803578
422,YBR158W,86.50669084,70.89725511
423,YBR159W,170.9004309,155.8960132
424,YBR160W,27.84705349,113.4026183
425,YBR161W,63.10169757,13.49100115
426,YBR162C,396.4889997,494.482667
427,YBR162W-A,0.0,385.31116910000003
428,YBR163W,12.17884299,0.0
429,YBR164C,45.25146192,46.069813700000005
430,YBR165W,47.06524097,18.29535048
431,YBR166C,47.26358937,26.19775719
432,YBR167C,16.87187233,60.11947319
433,YBR168W,8.61932608,20.47547275
434,YBR169C,29.13679969,92.83001077
435,YBR170C,34.80368156,46.68830689
436,YBR171W,5.746217387000001,122.8528365
437,YBR172C,32.10437245,20.59152807
438,YBR173C,15.96599999,34.13494921
439,YBR174C,0.0,0.0
440,YBR175W,48.93376895,32.19055337
441,YBR176W,22.80128433,5.416514837
442,YBR177C,121.0519512,90.01960057
443,YBR178W,0.0,0.0
444,YBR179C,20.84346377,7.92228572
445,YBR180W,18.68272773,0.0
446,YBR181C,1694.9795149999998,1397.4100449999999
447,YBR182C,49.88934433,7.485073484
448,YBR182C-A,0.0,0.0
449,YBR183W,82.54976019,80.2225147
450,YBR184W,4.539950378,0.0
451,YBR185C,63.94983866,12.15318383
452,YBR186W,0.0,0.0
453,YBR187W,198.9499963,120.666843
454,YBR188C,8.435936164,12.02389464
455,YBR189W,3421.130736,3563.268161
456,YBR190W,0.0,16.30162639
457,YBR191W,440.8104732,866.3904697999999
458,YBR191W-A,0.0,0.0
459,YBR192W,40.90759521,31.39572489
460,YBR193C,0.0,15.1372245
461,YBR194W,28.777427399999997,68.36165903
462,YBR195C,42.17968082,16.03185952
463,YBR196C,621.5232967999999,1582.344534
464,YBR196C-A,0.0,0.0
465,YBR196C-B,33.9847714,0.0
466,YBR197C,27.28135319,0.0
467,YBR198C,23.81911387,29.70609264
468,YBR199W,89.52977413,61.98123752
469,YBR200W,21.5483152,24.57056731
470,YBR200W-A,0.0,0.0
471,YBR201C-A,0.0,0.0
472,YBR201W,11.22138678,15.99404853
473,YBR202W,105.449202,80.15929759
474,YBR203W,7.715461616,18.32831507
475,YBR204C,28.47128455,49.59856538
476,YBR205W,48.45976663,58.60535313
477,YBR206W,11.01358333,31.39572489
478,YBR207W,10.21001716,32.74318089
479,YBR208C,29.80146076,39.70635795
480,YBR209W,11.22138678,0.0
481,YBR210W,0.0,41.49504898
482,YBR211C,40.25888305,10.43304089
483,YBR212W,61.85935359,35.26770879
484,YBR213W,43.25334542,18.49493612
485,YBR214W,18.02222726,144.49168840000002
486,YBR215W,22.80128433,35.20734644
487,YBR216C,42.29215997,27.628237899999995
488,YBR217W,63.60786091,0.0
489,YBR218C,278.0746607,160.780139
490,YBR219C,4.646355465,19.86760716
491,YBR220C,26.50327538,37.77560481
492,YBR221C,288.45384989999997,364.9432217
493,YBR221W-A,0.0,0.0
494,YBR222C,94.02036941,40.51433616
495,YBR223C,4.36501651,12.44307629
496,YBR223W-A,0.0,0.0
497,YBR224W,0.0,0.0
498,YBR225W,33.00407878,16.93487491
499,YBR226C,0.0,0.0
500,YBR227C,61.64224372,16.27033727
501,YBR228W,42.8988098,11.11717472
502,YBR229C,46.08406175,47.9319025
503,YBR230C,79.29779994,163.2577694
504,YBR230W-A,17.75323879,25.30401708
505,YBR231C,39.12720392,44.61497748
506,YBR232C,0.0,0.0
507,YBR233W,14.36554347,8.190189102
508,YBR233W-A,50.08282101,89.22995495
509,YBR234C,101.9543142,127.70313030000001
510,YBR235W,46.68737552,19.66083753
511,YBR236C,16.33135468,19.39781629
