gene,I.1,I.2,S7,A,T1
YEL043W,335,223,132,335,287
YEL018W,136,72,38,117,131
YLR323C,106,86,13,78,143
YPL053C,605,287,84,236,411
YGL172W,741,473,211,603,697
YJR070C,2627,1683,554,1670,3483
YDL143W,2905,2019,646,2024,3918
YKL162C,51,30,12,28,27
YDR257C,338,229,75,243,400
YHL027W,596,356,197,566,672
YMR290C,2118,1618,740,2331,2871
YDL021W,128,85,35,82,133
YPL211W,1068,734,212,794,1335
YDR452W,846,513,156,489,1129
YBR074W,833,639,234,594,652
YAL038W,163222,99433,55689,135161,239018
YBL071W-A,316,163,60,196,660
YOL047C,7,5,1,5,0
YMR024W,320,182,67,217,270
YLR147C,179,85,34,100,168
YDL018C,277,162,44,139,295
YML012W,1709,985,337,1072,2172
YIL061C,147,66,24,85,98
Q0250,9,20,76,112,144
YHR187W,236,191,87,188,240
YGR155W,8282,6135,2338,7083,10449
YLR136C,2406,1514,918,2129,2339
YKR015C,0,0,0,0,0
YLR320W,43,24,14,28,30
YDL060W,1050,858,320,869,1638
YIL085C,272,208,62,175,394
YHR075C,80,48,22,70,108
YGL195W,6692,4777,1985,5237,6901
YOL119C,381,239,154,327,561
YDR062W,1493,947,386,1047,1815
YNL289W,401,228,135,352,514
YJR105W,6418,3982,1249,3806,7345
YER161C,245,112,33,142,240
YNR036C,619,276,92,298,414
YMR247C,764,595,225,599,821
YAL067C,7,5,2,6,5
YOR316C-A,0,0,0,1,0
YMR111C,83,55,24,82,148
YJL096W,260,130,112,206,175
YBR136W,250,177,48,134,231
YKL059C,222,145,84,182,348
YMR090W,24,11,1,11,36
YGR018C,0,0,0,2,0
YNR061C,484,334,186,353,572
YGR235C,455,228,115,336,558
YGR119C,734,513,243,587,614
YER121W,5,6,0,5,12
YJL204C,354,236,137,359,329
YER180C-A,81,34,11,40,122
YNL154C,1056,657,305,854,1117
YGR209C,3024,1635,1045,2848,5923
YBL064C,357,183,98,266,437
YDL012C,437,221,115,279,226
YDL181W,33,12,10,30,56
YMR133W,1,0,1,0,0
YKL029C,1589,1084,488,1215,2928
YPR106W,196,110,62,148,150
YNL039W,310,193,82,244,406
YDL149W,107,54,26,76,98
YLR007W,97,61,25,59,120
YGR187C,892,672,239,804,1315
YBR282W,288,139,37,128,127
YDR009W,14,6,3,11,11
YER170W,132,76,32,80,162
Q0110,4,7,4,10,20
YPL269W,37,21,7,27,58
YER013W,246,161,55,214,265
YHR137W,278,156,79,185,187
YDR407C,377,224,113,322,407
YER060W,99,102,19,56,91
YGL009C,1354,513,240,710,1163
YGR058W,144,81,40,125,126
YIL008W,506,281,143,364,342
YHR101C,173,81,42,106,144
YBR192W,214,128,34,147,194
YBL009W,293,192,107,289,283
YDR279W,186,104,48,157,113
YLR243W,319,226,116,243,369
YER029C,222,149,56,197,296
YOL048C,70,38,26,55,77
YJL025W,28,33,12,20,28
YDR246W,216,112,59,171,246
YDR427W,1353,907,703,1717,1473
YLR187W,493,308,224,508,559
YDL024C,7,7,2,5,5
YER182W,88,39,10,34,40
YNL163C,835,613,233,681,1375
YMR137C,65,49,14,62,89
YOL148C,176,129,73,167,216
YMR228W,168,110,46,101,122
YJR069C,972,550,212,714,1126
YIL066C,125,75,16,49,61
YDR411C,345,225,91,221,314
YNL061W,1751,1409,328,1187,2634
YDR309C,516,273,243,663,666
YER095W,289,170,69,195,411
YCR054C,272,192,51,182,245
YDR499W,88,53,30,84,121
YKR004C,53,41,15,47,47
YJL063C,431,190,55,162,354
YMR206W,2,1,2,0,1
YMR154C,84,44,16,37,56
YLR410W,1617,1042,457,1392,1981
YER092W,254,137,47,194,521
YBR101C,906,517,249,685,791
YIL042C,60,31,21,39,84
YOL004W,1832,1189,625,1641,2194
YHR112C,242,136,53,218,318
YGL029W,249,132,10,159,513
YJR060W,941,497,117,567,1045
YDR437W,69,32,18,39,60
YHL022C,7,2,1,3,12
YGR017W,440,279,89,260,417
YGL175C,43,25,3,26,81
YLR305C,1218,925,296,685,824
YIL124W,705,401,245,794,1038
YGR234W,5633,4075,1573,4671,5836
YCR004C,1380,742,361,1056,1766
YKL028W,353,255,97,221,534
YPR173C,509,356,98,342,747
YPR137W,739,525,144,508,928
YAL011W,141,90,21,79,156
YJL108C,0,0,0,1,6
YHR039C-A,2756,1761,265,1501,3402
YLR238W,101,66,23,103,102
YLR020C,334,235,70,205,251
YEL020C,61,29,22,61,98
YEL016C,64,46,16,52,122
YPL060W,56,48,14,33,53
YIL156W-B,364,213,49,156,438
YER087W,160,80,33,128,200
YOL087C,313,211,77,228,279
YNL304W,140,100,32,81,140
YNL092W,33,17,10,23,31
YPL152W,191,105,71,160,97
YKL033W,179,115,66,148,218
YJR110W,113,79,19,71,109
YLR427W,296,162,83,223,349
YLR049C,277,173,88,253,340
YBR025C,7950,4947,1599,5763,9483
YGL243W,95,57,19,76,91
YNL208W,3450,1707,924,3045,7847
YER055C,2566,1466,731,1920,4109
YJR123W,33127,20275,10477,28295,40038
YHR065C,749,521,198,608,989
YNL128W,6,1,4,5,15
YDR405W,224,145,55,154,232
YGL163C,180,80,33,114,221
YMR139W,235,128,86,211,198
YJL128C,553,374,261,518,606
YJR002W,987,783,206,698,1426
YDL217C,325,184,49,217,334
YPL094C,971,653,245,665,1702
YJL157C,440,324,157,379,612
YAL037C-A,0,0,0,0,0
YER120W,2963,1787,827,2314,3434
YGL207W,3161,2151,1018,3103,5029
YLR315W,71,46,17,41,58
YDR516C,1151,513,202,641,1467
YPL106C,22971,14811,5807,20014,33690
YFR042W,173,71,71,139,135
YLR256W,1896,1302,550,1584,1979
YPR191W,432,183,64,217,533
YNR077C,0,0,0,0,0
YMR241W,1685,1134,451,1420,2361
YOR147W,132,106,37,90,87
YJL189W,5747,3597,1749,6202,5834
YHR079C-A,0,0,0,0,2
YBR260C,492,335,115,356,469
YLR396C,308,197,71,200,227
YNR037C,181,58,48,146,117
YPL243W,1200,776,282,839,1097
YDL109C,18,10,3,8,15
YLR440C,449,308,139,297,449
YBR018C,0,1,0,1,0
YCR043C,422,236,70,224,297
YPL270W,298,214,102,265,298
YBR054W,129,54,25,59,80
YNL062C,718,553,197,643,1007
YNL164C,162,130,31,132,176
YMR298W,725,438,271,578,641
YMR003W,82,44,22,101,42
YML106W,1966,1323,449,1244,1694
YMR037C,545,266,189,438,380
YKL094W,650,419,153,371,515
YHR012W,389,247,115,331,417
YOR066W,192,113,76,196,152
YLR367W,1868,1181,379,1219,2138
YDR497C,1351,914,346,914,1845
YOR129C,55,54,21,50,73
YJL027C,0,0,1,0,0
YJR147W,117,69,31,74,78
YDR041W,273,132,109,169,421
YDR409W,169,83,54,176,178
YMR272C,753,293,93,311,676
YJL039C,1680,1157,385,1054,1275
YKL143W,892,687,138,601,1079
YDL081C,9476,5622,2273,8049,20553
YDR307W,432,271,137,319,268
YIL019W,400,314,39,248,410
YDR390C,405,290,135,312,474
YNL041C,477,313,126,378,455
YDL201W,606,452,152,459,814
YNL200C,115,54,58,117,159
YMR028W,205,146,71,181,305
YKR041W,16,6,2,25,32
YER073W,1584,1182,488,1312,2097
YGR144W,19,9,5,6,17
YEL006W,157,112,39,112,76
YJR007W,2725,1901,634,2179,3323
YNL238W,495,314,93,244,528
YBR053C,552,300,111,374,673
YCR073W-A,462,247,67,215,558
YOR269W,76,51,21,45,69
YLL060C,30,15,1,4,11
YPL163C,808,504,388,770,646
YDR500C,3152,1887,716,2147,3205
YLL003W,56,37,19,42,47
YMR258C,402,276,134,303,583
YML069W,1563,994,428,1380,2551
YML125C,1902,1156,273,833,1716
YOL057W,904,625,307,833,1241
YKL145W,3556,2091,598,2133,4558
YFR030W,303,168,90,234,310
YIL150C,126,72,30,133,182
YGR146C,301,179,185,464,403
YDL126C,13179,8450,3210,8618,17036
YDL006W,202,109,36,105,229
YMR025W,46,38,12,45,70
YOR227W,210,96,60,143,217
YDL233W,174,85,52,126,88
YCL057C-A,490,259,183,355,1134
YOR362C,1659,1028,508,1204,2352
YMR276W,3205,1847,841,1740,3268
YOR217W,765,452,198,607,902
YGR061C,6945,4996,2518,6907,9662
YBR049C,1112,697,319,860,1275
YML124C,1295,842,214,795,1621
YPL246C,530,401,208,467,865
YDL178W,613,412,118,336,683
YOR111W,189,132,34,128,240
YNL240C,279,193,71,124,359
YMR096W,51,40,13,29,70
YLR431C,34,28,14,43,62
YLR152C,34,20,8,24,30
YKL019W,394,209,64,180,418
YGR168C,23,15,14,35,34
YGR027C,4245,2562,1768,4612,5246
YJL048C,28,16,9,30,35
YGL250W,71,28,12,40,71
Q0105,14,19,17,34,82
YEL031W,5660,3870,1375,3692,5391
YDL147W,2061,1224,516,2052,2738
YJL129C,197,125,59,139,189
YKL191W,463,273,77,165,340
YDR320C-A,109,40,59,134,70
YIL099W,3,2,0,0,2
YJR135C,44,33,13,40,43
YBR102C,356,235,106,368,467
YIR013C,1,1,0,0,0
YDR144C,935,586,246,614,762
YIL094C,2124,1412,437,1203,2347
YMR032W,268,175,42,155,213
YIL002W-A,293,128,29,247,590
YPL112C,351,226,154,435,489
YAL049C,378,196,106,336,458
YMR078C,237,157,39,163,227
YJL077W-A,2,0,2,4,5
YJL085W,196,160,66,184,221
YKL209C,1420,921,258,685,986
YKL128C,736,495,176,600,915
YMR010W,401,241,133,306,252
YBR193C,135,82,47,109,130
YCR023C,142,145,41,109,130
YHL009C,167,127,50,175,168
YDL086W,512,276,133,324,725
YOR201C,233,133,45,126,176
YPR109W,79,37,24,68,63
YIL038C,811,455,196,553,673
YDR001C,698,410,203,575,835
YPL137C,484,215,112,352,394
YML082W,281,228,70,163,315
YPL233W,102,79,20,67,113
YNL269W,0,0,0,0,0
YJL004C,280,144,51,105,142
YOR286W,671,312,102,321,326
YOR315W,355,204,98,293,297
YNL010W,3281,2046,623,2561,5216
YJL070C,124,58,27,81,98
YIL087C,76,26,21,48,47
YKR100C,214,135,55,156,253
YLR388W,1415,958,219,925,1812
YNL079C,3757,2046,393,2317,5056
YHR061C,127,61,33,121,174
YLR415C,0,1,0,2,0
YHR104W,898,548,261,863,907
YLL008W,1342,1094,280,1020,2141
YPL111W,1483,870,370,1056,2577
YFL067W,0,0,0,0,0
YBR158W,665,433,155,428,619
YGL146C,52,38,15,37,55
YBR182C,29,17,18,30,22
YER043C,13281,9010,4674,12215,26577
YPR015C,8,7,8,17,7
YMR054W,1043,668,239,692,1354
YER026C,1548,932,445,1174,1328
YDR264C,2520,1739,703,1794,2915
YOL036W,318,180,89,217,238
YMR231W,403,229,127,310,387
YPR100W,266,129,17,162,437
YDL139C,49,29,9,34,75
YOL028C,113,66,43,103,184
YNR033W,529,362,130,292,557
YKL149C,111,75,32,114,144
YBL093C,467,310,95,308,314
YBR072C-A,0,0,1,1,0
YPR122W,224,158,67,186,207
YOL009C,77,35,14,47,44
YER124C,2093,1465,579,1534,1930
YGR253C,1832,1160,459,1148,2160
YOL158C,5299,4058,2095,4683,9642
YHR214C-D,0,0,0,0,0
YDR055W,1358,713,374,1048,889
YMR190C,163,119,47,129,164
YDL110C,140,64,19,65,195
YNL187W,13,8,3,4,17
YOR049C,36,14,10,18,17
YNL274C,169,69,30,112,242
YMR027W,1636,1104,413,1101,1950
YJR032W,475,295,97,336,551
YIL044C,362,219,156,384,450
YGR135W,1995,1123,433,1235,2257
YBR011C,15094,9529,3877,11967,14283
YDR419W,107,72,15,68,121
YBR110W,599,381,143,342,482
YOR009W,517,121,10,15,22
YGR089W,257,163,102,260,159
YLR247C,402,288,83,219,419
YEL067C,4,2,3,3,5
YPR036W-A,2316,933,1151,3310,3657
YDR266C,512,303,159,468,518
YDR512C,241,128,64,144,315
YPL208W,254,195,68,147,271
YLR450W,812,623,355,710,797
YOR319W,79,45,27,80,268
YML051W,67,44,18,43,72
YCL014W,491,318,150,433,476
YGL117W,81,34,12,26,44
YFL010W-A,0,0,0,0,0
YLR371W,326,212,119,290,368
YDL051W,1752,1234,417,1415,1841
YLL040C,1835,1113,534,1538,2104
YKR070W,627,385,133,359,550
YJL072C,130,75,36,119,171
YHR081W,425,227,37,257,364
YOR061W,801,539,181,563,794
YDR090C,215,138,52,137,188
YPL256C,395,228,138,325,335
YOR070C,210,103,84,164,282
YNL024C,44,26,12,35,75
YLL066W-B,0,0,0,0,0
YJL217W,1390,925,469,1771,3191
YLR397C,575,419,166,461,798
YGL093W,312,172,63,246,325
YDR523C,0,0,0,1,4
YHL017W,522,353,120,317,629
YKL098W,80,41,13,46,44
YOR204W,8723,5630,2416,6520,9414
YCR008W,339,203,99,253,345
YOR298C-A,4740,2028,830,2976,5909
YOL059W,2255,1339,560,1411,2617
YOR250C,204,140,64,167,187
YGR110W,16,8,4,22,26
YHL036W,29,27,13,29,29
YOR165W,1221,791,252,788,1161
YJR088C,928,558,330,700,1077
YLR378C,3515,2160,794,2022,3646
YCR014C,0,1,0,0,1
YHR020W,6835,4729,1494,4540,7422
YMR235C,1958,1373,386,1560,2802
YGL099W,1408,1063,363,1265,2247
YBL050W,1049,607,241,706,1943
YJR039W,88,69,22,63,140
YJL148W,816,530,261,1039,1394
YNL185C,182,90,38,85,174
YFR036W,101,48,15,89,118
YMR067C,426,250,156,366,312
YML086C,1796,1135,462,1322,1674
YMR167W,142,100,34,113,203
YDR016C,169,97,17,78,164
YOR122C,2758,1609,791,2134,4434
YGR062C,43,19,15,25,31
YIL113W,15,8,5,10,31
YNL234W,58,34,20,38,49
YKR093W,1203,578,85,175,281
YCR072C,736,593,251,637,769
YDR414C,112,90,41,94,93
YPL045W,226,143,73,154,207
YGR189C,2877,1736,1269,3111,4138
YER113C,264,177,61,178,189
YDR471W,2975,1990,560,1922,3786
YCR086W,153,88,23,91,249
YOR380W,32,25,16,21,50
YHR039C,845,531,266,653,861
YFL044C,378,202,90,295,449
YIL009W,341,234,77,204,354
YBR245C,1155,725,247,882,1518
YNL046W,38,27,20,40,53
YDR318W,65,38,12,47,51
YLR025W,516,314,113,412,577
YOR355W,917,524,259,705,444
YPL265W,2538,1480,616,1659,1842
YDR076W,42,27,14,29,43
YFR055W,670,451,271,674,1443
YDL128W,944,554,246,588,762
YHR090C,141,86,21,88,161
YDR214W,1582,695,204,864,1585
YPR061C,20,15,11,28,28
YOL090W,808,562,305,796,1471
YGR267C,621,353,147,513,1266
YGR185C,3402,2308,871,2952,4282
YML050W,31,12,13,21,24
YDR034W-B,7,1,4,5,9
YNL078W,181,87,73,158,173
YMR158W,211,87,57,136,126
YOR262W,285,204,49,190,314
YKR018C,1598,1076,309,923,1852
YDR470C,241,147,78,182,329
YHR016C,313,166,94,269,676
YFL004W,2524,1671,638,2223,3122
YDL045W-A,198,67,60,196,201
YNL290W,452,293,181,330,793
YMR132C,56,25,11,42,56
YDR358W,300,159,148,320,320
YGL085W,34,32,13,23,66
YML008C,6332,4147,972,3750,9793
YGR023W,54,25,28,44,36
YLR206W,629,347,237,512,719
YKR089C,254,165,62,162,213
YIL119C,88,54,62,142,72
YDR073W,59,40,40,68,32
YOR180C,2,0,0,3,6
YPL170W,260,144,57,177,264
YGL139W,741,558,179,414,768
YLR287C,530,342,167,481,647
YBR248C,1180,779,351,1047,1642
YAL044W-A,234,135,60,173,294
YGL140C,553,418,161,334,735
YGR180C,6102,3499,1105,3716,6388
YPL018W,117,65,36,80,147
YPL229W,87,47,42,90,34
YDR183W,134,81,28,101,147
YDR079W,106,38,26,71,75
YBR196C-A,0,0,0,0,0
YDR205W,301,218,97,181,241
YER118C,507,381,171,379,344
YGL260W,0,0,0,0,0
YBL067C,336,230,85,267,411
YOR093C,271,151,58,149,141
YKL144C,333,231,82,263,349
YLL055W,31,8,8,15,30
YLR343W,2,0,0,2,2
YMR064W,104,58,40,112,66
YGR193C,843,504,348,788,822
YOL029C,3,0,0,1,2
YML041C,116,56,21,91,107
YMR260C,2872,1565,326,1589,3318
YOR060C,32,22,7,30,33
YKL101W,617,326,192,566,668
YNL024C-A,382,148,78,202,350
YJR015W,1064,665,389,943,1289
YHR191C,94,50,23,89,182
YDR185C,24,7,4,17,32
YDL170W,102,65,34,88,135
YEL073C,1,0,0,1,1
YPL153C,136,100,34,130,154
YML072C,3777,2570,1130,3299,3779
YGR036C,189,119,56,152,87
YKL086W,26,13,12,26,31
YBR283C,2985,2002,1235,2503,2061
YGL226W,98,48,16,50,73
YPR096C,2,3,0,2,1
YGR196C,415,226,111,296,435
YNL330C,517,348,106,370,621
YLR393W,103,54,24,87,103
YHR189W,30,9,5,14,47
YJR030C,162,101,57,201,275
YDR513W,585,268,220,500,765
YPR069C,4472,2934,1532,3915,4154
YGR170W,176,107,49,120,186
YNL064C,6899,3464,1252,4532,6531
YBR061C,460,292,109,351,510
YOR010C,34,11,2,10,6
YPL002C,100,62,30,76,73
YJR053W,114,77,26,101,92
YHR010W,5577,3396,1984,6860,8901
YKL074C,274,176,44,177,285
YKR023W,173,95,40,163,240
YAL036C,1547,1205,372,1111,2145
YGR126W,86,58,20,81,62
YKL082C,757,494,114,576,995
YGL010W,85,41,40,92,84
YHR195W,98,56,35,88,127
YGL003C,158,100,70,116,204
YGR237C,217,151,71,230,285
YIL131C,357,229,86,252,523
YPR111W,148,104,31,113,154
YKL044W,9,5,10,26,6
YDR287W,146,98,46,129,208
YMR002W,1786,790,462,1287,2394
YOR296W,203,113,42,130,178
YDR122W,516,258,136,365,551
YBL106C,198,155,56,162,223
YOR035C,270,176,110,267,402
YDR200C,156,83,56,150,148
YIL127C,377,255,83,311,415
YIR042C,12,3,1,6,11
YBL068W,472,368,159,556,751
YOR118W,188,121,41,106,144
YPR055W,452,295,128,325,347
YMR281W,232,141,100,224,212
YBR019C,6,1,2,8,8
YOR239W,1856,1112,397,1618,2285
YBR001C,247,141,31,130,315
YOR256C,365,221,101,299,306
YER139C,125,72,31,113,158
YGR232W,539,313,158,412,427
YBR160W,422,245,143,383,814
YMR006C,2419,1808,574,1272,1562
YHR064C,10320,6695,2742,7564,14305
YMR174C,22,7,1,24,25
YKR002W,426,264,118,333,519
YPL120W,167,89,50,129,132
YOR151C,3085,2095,768,1996,3186
YOL053W,91,55,23,54,99
YPR025C,166,101,52,139,151
YOL123W,2344,1429,674,1959,2140
YKR088C,429,269,125,326,412
YLR121C,111,73,60,137,140
YGL094C,335,218,72,170,314
YDR081C,351,233,135,342,329
YCR012W,147433,78776,36515,100000,230065
YKR044W,99,78,17,60,112
YNL220W,2306,1506,1059,2996,5423
YJL186W,1201,830,290,757,1440
YGR263C,106,54,41,89,138
YIL024C,20,10,4,12,7
YPR070W,175,127,77,167,188
YJR084W,161,101,27,96,151
YMR087W,74,40,25,51,104
YLR019W,334,197,74,193,270
YER050C,368,184,52,220,210
YDR068W,417,278,64,302,409
YGR059W,1,0,0,2,5
YLR067C,102,42,25,50,68
YKL080W,2930,1938,1052,2875,3413
YIL137C,1256,789,353,1095,1424
YBL075C,10,3,3,7,11
YGL246C,336,238,76,229,356
YHR108W,1742,1125,458,1409,1978
YER035W,288,96,90,255,353
YMR299C,72,42,37,56,66
YML093W,1142,758,145,588,1226
YOR155C,263,184,76,221,382
YNL146W,15,4,10,17,21
YGL143C,97,41,19,50,93
YNL239W,1730,1160,576,1446,2044
YLL018C-A,72,39,23,50,173
YJL095W,263,139,93,288,288
YMR030W,53,26,15,50,45
YGR271C-A,299,226,83,311,414
YDL117W,284,199,86,249,269
YOL075C,215,139,51,132,230
YOL056W,288,175,61,157,233
YML053C,162,70,75,178,120
YIL022W,828,462,120,421,1349
YMR073C,133,80,51,114,122
YHL048C-A,0,0,0,0,0
YER171W,269,158,72,209,298
YNL141W,1043,762,370,1029,1063
YDL010W,392,186,85,279,527
YDR106W,16,5,5,14,45
YHR078W,104,64,29,84,122
YDR270W,1068,737,275,642,1126
YOR098C,870,585,313,914,787
YIL026C,464,327,146,380,582
YDR067C,81,57,26,91,143
YGR009C,650,425,119,406,668
YGR204C-A,0,0,0,0,0
YCR003W,199,117,45,126,177
YML017W,1058,664,270,835,1033
YGL122C,983,637,323,838,1084
YMR128W,1052,915,354,1178,1831
YEL013W,1207,731,400,1048,1743
YLR268W,534,284,161,519,835
YDL069C,32,24,17,22,33
YEL055C,1701,1313,411,1317,2053
YMR065W,5,1,3,3,15
YIL068C,319,238,94,277,391
YPR183W,2281,1265,572,1494,2965
YLR387C,658,402,201,578,894
YLR125W,10,6,3,15,19
YOL024W,0,0,0,0,2
YGR012W,276,189,89,274,374
YNL095C,260,210,72,183,226
YKL092C,296,174,108,266,306
YBR007C,161,96,54,200,219
YPL124W,85,54,20,52,130
YAL015C,90,46,21,51,90
YGL253W,23622,15569,7221,21283,27849
YOR196C,142,78,11,60,123
YOL076W,784,559,207,663,832
YDR233C,3488,2192,1652,3519,2254
YCR075W-A,89,68,55,158,252
YEL040W,3868,2514,892,2204,4266
YNL250W,297,205,43,185,278
YMR252C,21,15,3,5,18
YLR312W-A,292,172,38,137,200
YGR206W,89,35,20,83,62
YJL106W,0,2,1,1,1
YKL189W,120,82,58,118,106
YER152C,329,230,76,159,396
YCL033C,326,175,53,144,549
YGR006W,85,45,20,75,83
YPL041C,48,26,27,50,52
YOL131W,1,0,0,0,0
YLR088W,713,561,215,508,629
YCR045C,0,0,0,0,0
YKL163W,1,1,0,2,6
YCR079W,44,37,14,29,47
YPR149W,2960,1281,912,1766,1438
YNL306W,440,217,51,255,485
YLR040C,91,60,31,56,66
YBR034C,1393,1029,275,712,1153
YPL187W,0,1,0,0,0
YHR030C,441,261,127,371,536
YPR108W-A,0,0,1,0,1
YDR384C,1535,952,336,779,1375
YMR052W,61,33,30,90,88
YGR124W,7604,5492,2294,4956,15160
YIL123W,5697,3469,1771,4469,7156
YOR163W,348,179,96,299,548
YJL178C,741,441,185,421,906
YOR051C,1218,751,220,873,1391
YOL105C,73,39,7,27,77
YLR352W,193,143,56,159,216
YKL018C-A,125,72,11,28,125
YPR112C,1095,888,216,1030,1711
YNR038W,663,526,279,679,618
YGR121W-A,0,0,0,0,0
YPR157W,28,13,3,11,18
YIL109C,2842,1764,1013,2572,3711
YGL257C,184,115,32,132,249
YER099C,405,308,113,330,632
YNL182C,520,398,214,448,453
YPR163C,5957,3865,1071,4406,8261
YML042W,18,6,2,16,12
YLR009W,984,622,123,731,1504
YGR152C,341,189,91,299,445
YDR170C,3864,2748,1200,3388,4723
YDL124W,1995,1211,644,2104,3308
YIL138C,1133,640,139,879,1576
YDR268W,183,98,38,127,157
YOL064C,837,495,247,676,957
YER091C,4938,2883,1905,5531,8314
YOL110W,59,23,12,30,52
YHR132W-A,252,123,50,186,234
YMR129W,1157,774,338,912,1027
YLR153C,5010,3498,2060,4923,7460
YOL128C,56,48,27,63,116
YDR194W-A,1,0,0,0,4
YLR074C,627,327,101,323,465
YJL016W,88,58,33,61,104
YOR085W,1181,721,376,782,752
YJL190C,8068,4579,2418,7253,16863
YPL204W,752,515,202,442,796
YOR284W,77,39,28,62,112
YOR159C,191,102,41,105,162
YER072W,3920,2284,1062,2512,5883
YDL004W,758,399,310,756,841
YOR188W,433,301,123,377,467
YKL002W,256,193,28,207,293
YJL164C,198,103,58,140,286
YNL130C,854,542,412,690,679
YER100W,761,500,290,722,1013
YMR110C,372,204,152,385,468
YDR228C,242,161,90,193,170
YFL048C,1214,775,301,999,1036
YPR117W,23,12,6,13,29
YBR247C,1048,813,264,779,1590
YLR024C,375,297,85,188,322
YKL018W,288,187,109,232,313
YKR026C,544,391,174,499,808
YNL091W,614,428,165,472,642
YDL159W,206,134,46,165,125
YLR347C,1799,1302,710,1600,2572
YDR159W,280,172,62,207,227
YPR031W,109,91,41,101,174
YOR040W,96,51,12,53,109
YGL187C,227,125,61,167,203
YDR323C,71,42,20,42,77
YJR095W,1,0,1,6,12
YDR485C,210,134,54,170,230
YNL029C,102,81,13,58,149
YOL020W,555,372,140,332,578
YJL013C,100,58,21,98,151
YNL136W,99,87,22,75,159
YLL057C,1,2,3,0,3
YDL058W,1336,917,301,1084,1940
YBL057C,336,210,76,217,447
YER064C,1049,652,292,934,1083
YGL130W,399,284,116,343,546
YBR295W,262,179,61,217,355
YMR035W,61,27,28,76,68
YKR086W,191,123,50,128,175
YPL181W,243,142,76,212,498
YOR075W,238,148,60,187,308
YMR159C,17,8,5,10,22
YOR211C,409,265,106,360,468
YKL183W,235,148,51,127,224
YGL084C,848,556,250,513,629
YDR541C,43,46,27,34,71
YPL245W,318,221,64,167,252
YDR369C,144,90,41,107,134
YOL049W,983,670,272,764,928
YMR088C,411,253,100,265,326
YJR044C,347,175,174,417,240
YDR436W,153,80,53,144,154
YIL083C,349,251,158,461,538
YOR124C,1160,715,335,968,1407
YHR133C,751,440,242,539,955
YDR381C-A,55,26,9,15,37
YDL064W,411,241,134,440,467
YBR076W,0,0,0,3,1
YJL103C,15,4,1,15,9
YGR024C,185,116,60,143,230
YDR127W,4225,2702,1416,3437,6418
YNL051W,251,140,86,216,227
YML097C,309,204,57,190,245
YIL147C,378,235,117,266,384
YMR097C,112,61,25,84,142
YNL059C,634,435,118,371,848
YLR033W,398,247,118,349,431
YJR033C,279,245,114,243,317
YMR253C,262,139,76,188,239
YFR032C-B,6,2,5,11,15
YGL249W,3,4,1,1,5
YLR023C,259,165,71,168,197
YHL040C,4181,3026,478,1330,1533
YFL040W,0,0,0,0,3
YBL098W,213,120,84,237,348
YPR180W,313,155,55,243,359
YJL196C,981,603,205,542,914
YMR204C,65,40,16,72,46
YHR105W,62,32,26,55,83
YLR085C,178,120,49,127,141
YCR053W,7681,4903,2166,6404,8049
YLR137W,78,43,14,51,67
YHR114W,589,397,169,426,588
YDR069C,179,97,91,187,142
YDL074C,661,402,139,533,696
YPR010C,4220,3643,1204,3066,5440
YOR346W,241,186,73,197,309
YGR257C,191,123,30,87,206
YOR279C,82,55,19,69,111
YLR306W,92,56,21,62,106
YJL112W,218,139,38,150,164
YLR398C,1111,748,280,839,1366
YBR036C,1231,713,350,791,1431
YPL092W,327,196,53,135,223
YLR309C,772,475,76,500,636
YEL022W,1382,1017,385,1079,1571
YIR018C-A,0,0,0,0,0
YDR282C,73,48,23,54,68
YPL227C,386,234,93,200,319
YLR446W,34,22,10,19,27
YGR273C,0,0,0,0,3
YMR184W,253,146,88,215,197
YBL081W,176,114,81,180,83
YJR142W,542,345,91,304,527
YHR194W,37,17,8,25,49
YFR046C,37,42,11,38,78
YGL027C,1408,926,320,986,1571
YLR423C,72,43,17,57,59
YMR286W,146,70,42,126,141
YBR182C-A,0,0,0,0,1
YDL036C,151,100,42,150,291
YBR213W,118,67,31,48,97
YOL159C-A,44,22,11,29,31
YHR037W,877,487,184,536,834
YLR107W,175,115,45,131,183
YNR045W,80,47,12,44,59
YMR072W,1531,920,616,1945,2530
YER166W,1087,710,229,644,1173
YDL186W,0,0,0,0,0
YDR152W,569,360,105,422,735
YDR216W,164,74,80,220,352
YCR082W,399,229,98,296,746
YER063W,819,430,104,510,1134
YNL090W,282,143,77,206,398
YMR280C,31,24,8,23,23
YHR045W,226,104,48,103,152
YPL072W,69,49,24,46,58
YOR330C,299,180,52,166,333
YPL252C,341,191,59,182,473
YKR091W,67,33,44,92,128
YNL049C,482,378,235,476,684
YGL057C,84,61,24,71,47
YNL108C,508,312,131,457,975
YDL073W,207,127,48,147,181
YEL042W,1637,1182,486,1295,2511
YKL085W,1192,606,280,779,1305
YLR219W,290,180,122,308,340
YNL138W,3217,2066,1060,2823,3715
YBR082C,2881,1544,1321,2454,1521
YGL173C,5215,3388,1513,4137,5703
YLR355C,30433,18301,5352,15513,31858
YLR039C,365,264,124,342,313
YIL112W,369,226,102,300,503
YHL032C,47,26,11,32,53
YHR002W,35,19,10,35,48
YPL038W,78,59,29,61,145
YJR085C,818,441,200,428,484
YPL196W,159,94,32,111,107
YCR032W,182,135,43,107,119
