Genes	ncs2_1	ncs2_2	ncs2_3	uba4_1	uba4_2	uba4_3	WT_1	WT_2	WT_3
YNR019W	1360	2329	2129	1186	1583	1109	1342	1511	1082
YNR020C	343	536	422	258	404	270	360	370	292
YNR021W	836	1350	1198	718	838	651	981	1191	648
YNR022C	353	555	562	229	428	264	332	435	356
YNR023W	227	354	303	190	239	167	236	239	159
YNR024W	70	110	74	57	101	58	180	118	116
YNR026C	207	429	423	228	307	191	292	350	213
YNR027W	182	320	303	173	281	140	250	280	150
YNR028W	300	572	434	223	359	205	321	427	259
YNR029C	314	652	503	254	397	299	301	375	219
YNR030W	492	936	782	496	687	444	546	765	480
YNR031C	1050	1767	1546	905	1216	887	1123	1280	793
YNR032C-A	184	308	263	161	211	218	184	255	179
YNR032W	508	839	761	388	571	393	524	579	415
YNR033W	645	1073	813	457	803	502	619	766	438
YNR034W	121	231	171	113	148	124	120	164	65
YNR034W-A	6	20	12	9	8	9	17	11	1
YNR035C	644	1088	1120	615	942	679	595	841	533
YNR036C	911	1942	1306	941	1409	1002	1194	1305	867
YNR037C	215	597	409	301	386	245	436	473	291
YNR038W	661	918	909	510	592	416	588	597	365
YNR039C	218	307	291	191	297	190	214	243	191
YNR040W	410	524	491	301	421	331	429	399	255
YNR041C	456	923	748	424	685	409	481	551	326
YNR043W	2449	4173	3683	2029	2766	1916	2140	2731	1839
YNR044W	54	162	190	84	144	48	168	172	84
YNR045W	282	497	443	260	325	221	297	390	206
YNR046W	395	650	681	334	512	385	360	480	338
YNR047W	691	1328	1100	533	866	604	730	912	567
YNR048W	173	266	245	119	216	161	162	187	109
YNR049C	133	192	199	115	108	123	113	225	117
YNR050C	9626	15875	13633	7907	10239	7606	10603	14370	8444
YNR051C	565	980	966	462	736	454	666	765	386
YNR052C	506	887	758	402	615	385	532	630	414
YNR053C	1143	2030	1694	1058	1216	909	1016	1166	884
YNR054C	301	584	437	248	353	255	400	432	304
YNR055C	478	991	875	434	718	445	663	676	466
YNR056C	38	117	67	52	113	42	77	85	39
YNR057C	88	171	150	118	162	81	123	152	88
YNR058W	58	57	75	46	62	49	53	58	57
YNR059W	92	178	153	112	146	79	131	121	92
YNR060W	4	27	22	6	24	7	16	9	13
YNR061C	201	386	293	138	225	163	186	219	173
YNR062C	6	4	3	0	7	5	2	6	0
YNR063W	52	120	86	40	89	57	65	98	51
YNR064C	5	17	12	8	4	5	20	17	2
YNR065C	416	764	667	325	568	346	438	438	234
YNR066C	141	307	205	154	172	118	95	150	123
YNR067C	1285	1948	1857	1115	1800	986	1485	1736	893
YNR068C	29	35	38	38	34	31	24	15	8
YNR069C	72	100	93	57	114	45	31	40	20
YNR070W	0	0	0	0	0	8	1	0	6
YNR071C	0	0	0	0	4	0	1	0	0
YNR072W	6	9	1	6	16	1	1	0	3
YNR073C	28	60	67	34	112	67	45	37	31
YNR074C	2	0	0	0	0	0	0	0	0
YNR075C-A	0	0	0	0	0	0	0	1	0
YNR075W	74	85	92	68	63	36	53	83	34
YNR076W	1	9	7	2	10	2	0	0	2
YNR077C	3	2	0	0	3	0	11	0	0
YOL001W	64	134	103	89	72	75	92	130	37
YOL002C	194	400	301	223	230	188	254	278	165
YOL003C	119	306	212	107	200	124	154	212	112
YOL004W	1283	2221	2056	1055	1602	1198	1533	1752	1049
YOL005C	428	934	857	397	529	475	525	584	544
YOL006C	541	921	634	349	572	364	558	618	411
YOL007C	225	360	240	213	238	151	288	391	225
YOL008W	91	168	167	93	125	64	119	147	94
YOL009C	125	165	231	102	134	76	136	163	124
YOL010W	344	595	490	296	354	305	379	397	225
YOL011W	639	1280	856	578	792	555	807	931	598
YOL012C	470	776	756	386	599	376	685	657	445
YOL013C	219	402	276	183	259	193	246	211	228
YOL013W-A	416	828	476	314	292	211	339	335	318
YOL014W	227	273	295	161	204	171	169	188	139
YOL015W	12	10	9	5	16	7	11	12	3
YOL016C	411	775	601	324	499	369	475	501	366
YOL017W	178	319	304	157	192	156	217	221	175
YOL018C	122	234	170	119	191	118	132	200	118
YOL019W	210	515	433	274	329	261	389	424	193
YOL019W-A	36	58	85	37	45	20	41	43	18
YOL020W	519	939	838	490	514	391	606	697	417
YOL021C	1220	2118	1926	1032	1493	1117	1297	1528	915
YOL022C	312	549	500	243	402	212	365	456	347
YOL023W	549	911	775	423	753	449	676	833	563
YOL024W	2	1	12	0	2	2	0	0	0
YOL025W	876	1683	1534	803	1109	733	928	873	697
YOL026C	184	402	251	186	223	154	241	246	202
YOL027C	1361	2485	2402	1206	1863	1348	1234	1491	1056
YOL028C	211	366	322	135	243	144	204	269	137
YOL029C	199	340	272	132	259	119	231	217	108
YOL030W	1608	3203	2756	1424	2151	1306	1832	2121	1368
YOL031C	250	475	270	202	245	189	314	354	279
YOL032W	130	252	148	102	210	122	129	175	95
YOL033W	271	438	441	282	372	220	406	403	258
YOL034W	216	459	432	273	313	250	304	264	197
YOL036W	577	974	754	449	728	464	599	755	542
YOL038C-A	2	10	4	6	10	2	11	18	8
YOL038W	1360	2462	2117	1119	1547	1047	1454	1845	1278
YOL039W	5854	11055	9054	5318	7475	6007	7742	8977	5778
YOL040C	15482	26711	22289	14585	16555	12501	17205	22206	14031
YOL041C	380	736	602	354	516	361	499	491	309
YOL042W	142	279	172	167	177	134	172	199	114
YOL043C	104	125	122	84	169	89	131	142	90
YOL044W	122	209	164	91	102	122	150	164	118
YOL045W	355	646	647	313	495	347	393	512	274
YOL047C	7	5	2	0	5	3	0	10	0
YOL048C	160	258	189	100	209	138	144	168	88
YOL049W	1053	2011	1788	1036	1529	969	1170	1249	896
YOL051W	792	1218	1135	673	1048	638	1025	995	769
YOL052C	577	970	896	477	759	584	658	830	428
YOL052C-A	9	53	29	33	26	15	36	56	30
YOL053W	313	579	486	314	450	296	345	417	282
YOL054W	163	321	290	152	240	147	222	278	191
YOL055C	79	93	124	61	85	102	56	94	33
YOL056W	74	157	136	90	95	55	118	146	126
YOL057W	598	1106	914	518	703	578	829	855	582
YOL058W	10991	17420	15629	7885	10478	7401	8048	10469	6302
YOL059W	570	1262	875	548	745	533	805	847	483
YOL060C	563	903	924	478	732	508	679	675	513
YOL061W	1102	2179	1688	1025	1441	977	1235	1333	779
YOL062C	594	1004	793	516	792	573	652	774	462
YOL063C	317	575	538	258	394	314	387	426	290
YOL064C	1162	2138	1772	1041	1429	1179	1199	1310	820
YOL065C	94	247	206	160	169	125	139	133	99
YOL066C	290	575	484	321	343	325	366	354	276
YOL067C	140	339	267	159	261	204	222	259	149
YOL068C	459	884	651	452	603	439	471	684	399
YOL069W	260	431	327	276	305	189	266	361	205
YOL070C	460	745	730	344	518	342	525	546	381
YOL071W	233	370	331	213	271	207	298	312	142
YOL072W	212	419	403	208	293	224	209	289	179
YOL073C	185	316	238	154	208	145	173	185	145
YOL075C	239	403	448	216	385	169	307	366	227
YOL076W	526	918	694	480	522	367	462	565	362
YOL077C	747	1162	1159	689	821	624	919	977	730
YOL077W-A	792	1254	1300	726	957	675	853	872	722
YOL078W	317	497	404	222	375	230	335	395	193
YOL080C	130	212	235	99	104	83	151	190	149
YOL081W	2071	3262	2958	1492	2535	1488	2113	2535	1623
YOL082W	240	395	370	220	301	213	306	381	225
YOL083W	27	90	59	47	69	48	39	41	32
YOL084W	77	123	123	79	105	95	47	69	44
YOL086C	18840	33423	26169	16214	19289	14297	24796	27348	16399
YOL086W-A	113	224	190	112	153	121	175	120	89
YOL087C	529	1006	924	603	775	533	657	913	465
YOL088C	366	647	563	329	428	281	452	493	359
YOL089C	354	463	433	203	361	215	302	372	234
YOL090W	631	1082	846	539	681	514	687	784	534
YOL091W	12	19	17	29	20	21	24	33	13
YOL092W	722	1161	923	609	822	514	624	800	438
YOL093W	302	484	563	217	339	249	355	408	283
YOL094C	213	350	261	129	249	133	192	252	126
YOL095C	134	201	192	118	190	101	143	140	79
YOL096C	226	497	476	215	379	220	275	391	211
YOL097C	1264	2175	2099	1005	1689	1130	1312	1440	1058
YOL097W-A	3	21	6	12	10	14	8	5	1
YOL098C	1684	2897	2405	1275	1817	1272	1439	1650	1111
YOL100W	175	364	307	171	220	198	214	274	164
YOL101C	0	15	17	11	2	2	6	16	1
YOL102C	140	201	198	130	151	126	180	161	118
YOL103W	615	997	873	544	756	585	816	879	586
YOL104C	1	12	0	3	5	0	0	3	0
YOL105C	127	216	239	89	193	100	109	163	92
YOL107W	222	380	342	221	317	173	220	268	168
YOL108C	122	209	183	74	147	126	122	193	106
YOL109W	3795	5819	5842	2812	3815	2849	4119	5803	3725
YOL110W	151	285	245	131	226	144	183	208	108
YOL111C	171	437	352	180	285	149	297	306	156
YOL112W	268	395	344	170	317	260	316	354	254
YOL113W	249	445	343	187	314	224	318	313	199
YOL114C	36	62	47	27	38	31	25	37	12
YOL115W	318	614	470	327	371	315	269	351	214
YOL116W	160	241	211	134	230	127	185	155	124
YOL117W	244	231	239	160	189	156	152	200	104
YOL119C	723	1198	1093	654	756	606	490	552	332
YOL120C	18141	31334	27546	14817	20819	14610	21097	26381	16749
YOL121C	3697	6742	5940	3268	4852	3789	4515	5600	3449
YOL122C	406	681	582	411	496	447	396	421	274
YOL123W	795	1483	1209	657	1123	772	840	1162	618
YOL124C	248	531	414	229	286	193	373	337	241
YOL125W	211	410	396	189	279	198	221	255	201
YOL126C	132	284	226	139	225	168	122	188	103
YOL127W	11775	18281	17108	9864	12845	9037	12196	15604	10705
YOL128C	85	116	124	63	85	77	82	66	76
YOL129W	410	671	521	369	411	374	343	378	258
YOL130W	464	820	710	458	592	416	592	624	468
YOL131W	1	1	0	0	0	0	0	0	0
YOL132W	3	7	15	8	1	8	2	18	6
YOL133W	268	510	489	319	366	278	297	399	235
YOL135C	145	206	182	145	188	119	136	173	115
YOL136C	294	463	471	227	370	296	352	393	237
YOL137W	188	347	242	182	246	167	189	217	155
YOL138C	427	627	620	294	446	297	409	550	335
YOL139C	2587	4232	3593	1998	2637	2194	2856	3545	2387
YOL140W	1833	3079	2795	1637	1991	1756	1485	1889	1315
YOL141W	329	465	434	197	318	215	293	299	197
YOL142W	248	482	365	203	266	232	296	273	173
YOL143C	564	1051	807	430	750	547	491	661	362
YOL144W	259	434	318	188	264	223	241	256	228
YOL145C	776	1466	1288	661	1093	753	914	1133	677
YOL146W	189	248	262	145	164	143	174	272	140
YOL147C	667	1199	1001	593	694	704	585	844	403
YOL148C	161	348	304	170	233	183	202	251	155
YOL149W	270	595	454	304	344	291	270	349	210
YOL151W	1135	1959	1619	997	1224	984	569	584	370
YOL152W	18	11	10	19	7	3	71	60	25
YOL154W	16	35	38	18	25	18	28	27	21
YOL155C	1004	2071	1513	1033	2002	1100	556	620	435
YOL155W-A	5	18	3	5	1	1	2	0	0
YOL156W	18	53	34	23	12	6	11	8	13
YOL157C	230	439	241	207	396	187	205	187	138
YOL158C	429	681	560	406	595	407	286	372	243
YOL159C	86	150	114	66	152	95	94	144	96
YOL159C-A	71	131	139	48	91	71	56	75	48
YOL161C	4	2	11	3	0	6	3	4	12
YOL162W	20	30	42	16	18	12	16	12	9
YOL163W	49	91	55	36	75	21	29	49	11
YOL164W	188	403	323	182	287	201	242	342	174
YOL164W-A	3	2	1	4	2	4	0	0	0
YOL165C	37	72	54	44	55	33	25	45	29
YOL166W-A	0	0	0	0	0	0	1	0	0
YOR001W	759	1108	1035	505	772	600	657	798	550
YOR002W	410	797	728	328	525	401	505	599	401
YOR003W	67	57	54	38	71	33	73	111	46
YOR004W	181	392	276	156	222	191	242	362	207
YOR005C	133	214	208	178	171	158	154	209	99
YOR006C	282	440	388	174	286	188	269	334	263
YOR007C	4076	7058	5736	3204	4317	3383	3824	5022	3064
YOR008C	685	1244	1097	636	906	602	699	867	575
YOR008C-A	7	14	21	4	12	15	2	4	21
YOR009W	17	80	36	36	49	19	17	36	15
YOR010C	4	20	21	14	16	5	4	14	11
YOR011W	312	485	515	249	338	250	286	328	282
YOR011W-A	0	0	0	0	0	0	0	0	0
YOR012W	19	28	36	12	15	26	27	38	26
YOR014W	583	1009	961	561	672	473	700	696	519
YOR016C	324	539	481	295	386	325	352	458	271
YOR017W	418	577	601	307	487	259	484	554	312
YOR018W	152	386	302	165	256	150	213	275	151
YOR019W	5	21	6	20	37	2	2	21	16
YOR020C	1469	2638	2159	1339	1965	1544	1724	2166	1242
YOR020W-A	78	214	176	99	159	139	142	141	125
YOR021C	920	1565	1360	871	1033	796	1193	1103	869
YOR022C	136	249	218	137	164	96	169	147	99
YOR023C	371	598	540	287	465	311	415	485	290
YOR025W	374	602	562	319	444	293	412	501	307
YOR026W	181	324	329	166	234	176	176	232	116
YOR027W	4219	7824	6084	2979	4525	2916	3999	5546	3388
YOR028C	7	31	44	39	25	6	9	5	16
YOR030W	161	254	197	101	196	133	220	162	168
YOR032C	21	26	31	26	14	16	28	33	14
YOR032W-A	1	10	8	4	12	1	7	13	9
YOR033C	154	377	322	152	217	160	256	281	190
YOR034C	165	235	270	151	221	154	205	263	159
YOR034C-A	61	86	75	33	72	47	61	50	30
YOR035C	288	411	352	182	412	210	319	376	193
YOR036W	81	180	177	75	106	142	78	137	82
YOR037W	69	125	124	47	81	58	106	138	76
YOR038C	288	618	510	283	470	283	340	419	265
YOR039W	556	931	811	486	653	415	707	848	464
YOR040W	110	178	196	120	132	93	83	197	77
YOR042W	681	964	920	523	849	597	766	921	575
YOR043W	386	653	516	313	440	348	400	493	340
YOR044W	55	73	45	33	37	19	54	80	19
YOR045W	195	406	295	211	343	308	269	358	185
YOR046C	833	1536	1336	732	996	806	922	1016	680
YOR047C	115	211	151	111	97	84	121	144	106
YOR048C	1218	1913	1720	959	1579	1078	1195	1377	969
YOR049C	39	90	63	41	74	33	15	34	24
YOR051C	618	953	820	486	635	410	607	781	470
YOR052C	974	1707	1517	765	1261	928	988	1122	677
YOR054C	232	351	344	214	251	220	231	266	158
YOR056C	435	759	591	316	433	355	546	448	317
YOR057W	304	620	590	316	380	241	312	415	247
YOR058C	279	491	510	231	340	266	295	374	250
YOR059C	332	595	573	297	410	301	339	459	269
YOR060C	132	273	201	114	102	97	130	179	80
YOR061W	893	1363	1117	716	1040	703	862	928	620
YOR062C	29	66	78	33	31	55	50	87	37
YOR063W	23244	43773	35414	19427	28958	20335	29156	33265	22049
YOR064C	94	198	158	87	81	110	134	151	64
YOR065W	3410	5931	5493	3098	4400	3311	3520	4334	2924
YOR066W	84	217	127	98	117	74	126	101	58
YOR067C	360	730	581	325	490	354	387	446	286
YOR068C	4	2	1	0	1	0	0	0	2
YOR069W	338	596	494	211	431	279	362	493	316
YOR070C	202	456	310	230	349	199	243	364	158
YOR071C	122	213	211	143	179	126	117	167	99
YOR072W-B	130	237	262	110	191	116	164	150	112
YOR073W	138	220	181	91	183	138	156	155	115
YOR074C	351	578	472	183	423	285	296	398	231
YOR075W	87	105	127	74	101	63	125	154	132
YOR076C	185	271	301	174	290	124	198	214	153
YOR077W	115	185	228	78	133	78	155	219	88
YOR078W	263	454	495	205	358	244	421	500	277
YOR079C	180	280	259	150	206	157	170	237	109
YOR080W	117	229	177	95	186	134	157	213	83
YOR081C	177	304	264	148	207	131	156	227	144
YOR083W	200	345	301	179	291	183	208	286	155
YOR084W	340	642	494	261	478	290	345	386	257
YOR085W	608	1260	872	629	815	587	705	748	607
YOR086C	2055	3476	3338	1863	2702	1643	2361	2847	1842
YOR087W	469	857	792	436	546	472	515	607	367
YOR089C	385	669	567	302	468	324	351	462	235
YOR090C	341	616	571	350	442	374	365	415	246
YOR091W	520	913	891	429	612	458	663	874	551
YOR092W	335	625	533	285	389	296	486	614	412
YOR093C	512	1011	876	607	642	441	573	761	457
YOR094W	162	339	261	149	278	223	201	290	155
YOR095C	333	593	486	243	438	280	380	371	281
YOR096W	7017	13143	10973	6740	8441	6423	8459	10451	6701
YOR097C	57	100	76	50	86	51	78	89	30
YOR098C	851	1304	1204	681	1095	632	873	991	597
YOR099W	1008	1661	1574	822	1206	864	1196	1337	910
YOR100C	14	22	37	43	38	16	15	41	6
YOR101W	471	764	660	369	513	372	544	602	450
YOR103C	156	319	252	164	184	158	155	197	111
YOR104W	121	243	233	102	185	137	173	131	79
YOR105W	79	148	151	56	110	68	89	72	54
YOR106W	140	222	212	101	136	95	158	162	118
YOR107W	145	240	161	111	222	123	166	153	99
YOR108W	1299	2363	2053	1143	1497	1068	1316	1669	1111
YOR109W	1658	3232	2615	1382	2227	1353	1660	1980	1203
YOR110W	189	375	270	154	275	135	232	315	166
YOR111W	103	168	159	104	172	80	183	164	125
YOR112W	538	776	687	421	603	329	404	587	349
YOR113W	299	579	403	242	367	286	311	364	255
YOR114W	141	198	118	89	137	90	146	130	73
YOR115C	215	355	268	143	281	188	207	260	158
YOR116C	1517	2985	2485	1318	1942	1647	1774	2046	1360
YOR117W	1726	3419	3030	1611	2610	1639	2143	2513	1481
YOR118W	226	385	290	192	248	229	280	277	199
YOR119C	248	402	346	227	239	175	284	343	247
YOR120W	177	266	262	207	308	188	408	479	310
YOR122C	1433	2675	2237	1435	2050	1622	2046	2063	1322
YOR123C	460	829	769	377	521	376	622	690	365
YOR124C	980	1566	1403	808	1182	850	977	1232	781
YOR125C	140	296	249	145	227	105	219	223	162
YOR126C	114	227	180	128	164	114	128	224	144
YOR127W	449	868	827	361	588	498	538	652	474
YOR128C	3757	6017	5330	2877	3918	2614	3471	4455	2915
YOR129C	152	244	248	128	166	110	178	199	105
YOR130C	172	377	253	155	230	168	229	249	121
YOR131C	346	535	486	308	409	252	392	488	279
YOR132W	462	726	623	288	576	312	457	557	305
YOR133W	62595	113782	92624	52268	73037	51412	71767	84334	54133
YOR134W	0	10	2	0	5	0	0	4	0
YOR136W	3806	6217	5499	3260	4641	3132	3682	4665	3272
YOR137C	124	243	255	122	198	98	167	195	132
YOR138C	382	776	523	331	470	320	408	493	344
YOR140W	238	480	310	211	349	293	310	307	191
YOR141C	564	908	973	520	720	602	604	846	519
YOR142W	2094	3634	3071	1836	3001	1818	2644	2800	1667
YOR143C	183	287	287	220	241	252	187	257	226
YOR144C	274	472	405	205	305	184	276	302	260
YOR145C	784	1536	1249	739	1029	655	1110	999	733
YOR147W	344	672	571	309	451	385	362	507	332
YOR148C	84	144	128	95	102	75	76	110	66
YOR149C	126	267	171	153	139	124	127	158	92
YOR150W	1130	1785	1561	875	1490	950	1290	1453	1203
YOR151C	3568	6571	5018	2903	4342	3085	3882	4240	2880
YOR152C	52	107	90	53	83	54	51	73	57
YOR153W	7617	12608	10548	5882	7240	5224	7086	8424	5372
YOR154W	187	315	279	163	203	147	206	230	138
YOR155C	306	537	536	275	423	362	409	413	251
YOR156C	111	221	244	103	160	146	151	189	130
YOR157C	1492	2575	2166	1182	1705	1332	1531	1601	1026
YOR158W	580	1019	951	504	747	580	687	725	491
YOR159C	127	266	198	136	220	157	134	253	125
YOR160W	529	847	693	389	593	435	507	574	370
YOR161C	307	439	378	282	351	275	108	133	62
YOR161C-C	4	26	11	9	10	3	6	9	3
YOR162C	154	240	245	99	202	143	177	217	188
YOR163W	165	301	257	158	193	180	347	482	272
YOR164C	500	821	632	468	575	412	596	586	365
YOR165W	1083	1868	1636	955	1318	1044	1244	1385	898
YOR166C	204	263	268	148	258	163	176	247	175
YOR167C	3443	6942	5554	3158	4646	3439	4308	5787	3642
YOR168W	2632	4504	4124	1986	2915	2148	2235	2819	2000
YOR171C	709	1243	876	675	867	559	667	900	556
YOR172W	222	372	352	196	281	205	255	287	226
YOR173W	104	234	179	117	225	101	160	183	80
YOR174W	225	400	312	172	269	179	257	276	176
YOR175C	484	880	665	462	521	422	512	602	380
YOR176W	367	778	621	307	473	336	354	323	278
YOR177C	17	43	20	5	29	14	25	44	22
YOR178C	72	195	145	107	192	80	60	110	44
YOR179C	189	223	214	161	223	97	235	213	187
YOR180C	28	45	55	23	27	24	29	19	37
YOR181W	301	542	411	267	338	269	244	367	254
YOR182C	3432	6293	5292	2962	4022	2895	3714	4830	3291
YOR183W	124	283	163	130	107	120	150	151	111
YOR184W	1573	3258	2400	1432	1722	1418	2018	2340	1509
YOR185C	132	269	223	128	221	171	163	202	98
YOR186W	4	19	14	5	15	7	8	12	3
YOR187W	4255	7784	6693	3995	5254	4375	4480	4988	3717
YOR188W	650	1231	1026	521	895	463	699	716	522
YOR189W	101	197	173	103	187	74	171	225	133
YOR190W	4	10	26	14	18	9	27	3	18
YOR191W	903	1721	1228	719	1168	783	1023	1244	788
YOR192C	67	152	116	62	101	54	100	79	62
YOR192C-C	2464	4095	4026	2206	2796	2039	6868	8181	5081
YOR193W	75	160	154	61	100	87	92	125	74
YOR194C	386	701	613	312	455	300	482	559	400
YOR195W	361	566	633	265	432	270	371	504	297
YOR196C	535	1052	867	449	641	518	688	664	510
YOR197W	857	1728	1364	803	1162	785	861	1094	736
YOR198C	1848	3131	2944	1438	2266	1605	2930	4004	2148
YOR201C	600	1007	1058	490	740	530	586	725	549
YOR202W	811	1589	1321	681	1056	798	574	822	557
YOR204W	7741	12925	10986	6084	8849	5856	7472	9280	6082
YOR205C	303	519	488	256	338	260	391	406	325
YOR206W	850	1469	1190	681	1006	674	879	1066	762
YOR207C	1245	2208	1953	1143	1635	1138	1248	1447	1021
YOR208W	236	330	288	179	232	167	196	222	164
YOR209C	1135	2016	1773	941	1306	868	1190	1493	978
YOR210W	375	547	395	211	386	261	448	509	328
YOR211C	1078	1886	1550	933	1280	841	1119	1292	913
YOR212W	589	1059	919	524	786	572	693	944	566
YOR213C	170	293	217	137	190	135	136	194	106
YOR214C	3	4	4	5	12	1	21	14	6
YOR215C	141	356	268	134	299	149	302	385	233
YOR216C	303	518	543	289	414	258	383	393	293
YOR217W	648	1161	816	541	738	487	688	839	604
YOR219C	214	458	375	204	357	202	295	340	262
YOR220W	161	255	198	149	206	126	133	205	82
YOR221C	241	460	312	194	270	182	214	261	122
YOR222W	1681	3320	2416	1508	2090	1733	1358	1365	932
YOR223W	174	398	333	144	246	149	194	226	152
YOR224C	703	1199	1179	662	832	576	860	955	586
YOR226C	151	298	252	188	202	137	135	199	133
YOR227W	672	1220	1014	591	973	517	804	851	459
YOR228C	123	208	148	134	161	94	105	130	89
YOR229W	253	317	276	190	330	233	168	214	155
YOR230W	1827	3615	3093	1645	2489	1629	1975	1950	1324
YOR231W	209	497	308	218	266	239	279	317	198
YOR232W	1089	1828	1869	1131	1579	1065	1465	1790	1111
YOR233W	364	589	542	297	387	281	366	536	253
YOR234C	2063	4200	3067	2066	2438	2073	2402	2886	1746
YOR236W	209	345	329	182	289	154	304	412	237
YOR237W	6	7	3	3	1	0	0	1	6
YOR238W	57	86	102	50	65	39	61	95	53
YOR239W	660	1308	1143	682	860	646	1006	1089	736
YOR241W	445	905	741	423	629	423	522	662	386
YOR242C	34	52	35	34	34	36	28	20	26
YOR243C	1309	2069	1859	910	1415	1066	1192	1553	1006
YOR244W	277	407	360	217	298	209	263	371	172
YOR245C	141	258	157	76	131	119	109	151	125
YOR246C	519	1125	878	453	734	569	602	694	494
YOR247W	776	1513	1334	755	1315	898	1046	1104	688
YOR249C	144	223	240	95	201	92	159	226	128
YOR250C	215	372	326	194	256	184	222	309	156
YOR251C	439	668	627	362	596	269	405	542	317
YOR252W	188	383	480	185	207	197	257	294	193
YOR253W	165	362	302	191	214	173	177	214	166
YOR254C	1165	1948	1737	943	1331	1002	1423	1481	1033
YOR255W	0	0	2	0	0	0	0	1	0
YOR256C	548	814	726	406	647	445	586	586	478
YOR257W	88	177	122	87	149	74	126	123	61
YOR258W	30	58	52	30	46	29	34	43	17
YOR259C	2404	4026	3619	2037	2692	1991	2303	2587	1531
YOR260W	1424	2138	1876	1263	1593	1129	1214	1441	954
YOR261C	1302	2391	1981	1215	1716	1150	1496	1736	1247
YOR262W	250	426	430	236	304	262	250	335	189
YOR264W	355	558	621	330	413	272	403	557	314
YOR265W	131	229	220	103	182	132	191	267	169
YOR266W	203	424	303	224	279	176	264	409	209
YOR267C	477	950	799	460	594	472	600	597	458
YOR268C	3	7	4	7	4	4	2	1	1
YOR269W	196	266	246	109	239	157	111	219	152
YOR270C	3814	6842	5814	3221	4441	3251	3744	4260	2794
YOR271C	1231	2099	1840	1075	1449	1056	1435	1818	1149
YOR272W	724	1256	985	627	704	599	718	750	541
YOR273C	1194	2020	1876	1064	1508	1040	1362	1981	1119
YOR274W	217	353	324	197	245	161	262	338	182
YOR275C	227	463	423	234	313	229	293	328	211
YOR276W	716	1417	1394	747	1074	733	968	1279	959
YOR278W	663	966	1024	502	574	515	563	992	446
YOR279C	75	182	138	81	91	92	99	151	87
YOR280C	127	273	250	150	190	138	212	220	132
YOR281C	306	428	452	233	427	292	394	491	315
YOR283W	244	367	411	196	308	189	316	295	231
YOR284W	125	202	171	99	175	102	100	169	121
YOR285W	3588	5853	5081	3306	4231	3134	3541	4140	2936
YOR286W	1832	2910	2805	1409	1928	1573	1637	1867	1627
YOR287C	79	143	182	80	112	79	146	176	103
YOR288C	128	193	138	98	157	140	109	147	120
YOR289W	47	117	85	54	77	50	54	59	47
YOR290C	1468	2452	2190	1205	1848	1237	1703	1872	1265
YOR291W	711	1220	1053	629	905	658	840	901	555
YOR292C	94	109	139	99	130	109	109	96	82
YOR293C-A	3	0	6	0	0	0	0	0	0
YOR293W	5862	8285	8514	4538	5732	4733	6065	8164	5562
YOR294W	375	721	572	292	408	319	496	625	407
YOR295W	60	107	90	37	109	65	120	104	70
YOR296W	414	763	715	383	617	423	550	767	340
YOR297C	139	242	222	193	182	153	171	155	154
YOR298C-A	1360	2801	2461	1563	2195	1537	1625	2073	1093
YOR298W	27	31	25	13	22	5	25	18	10
YOR299W	502	878	870	418	611	444	657	680	451
YOR301W	459	753	727	378	486	409	493	590	312
YOR302W	680	951	1205	669	634	397	580	657	531
YOR303W	3847	6199	5544	3353	4038	2677	4349	4686	3171
YOR304C-A	41	83	63	31	50	44	49	70	44
YOR304W	676	1114	1000	548	715	533	601	833	505
YOR305W	94	173	153	123	149	114	137	154	150
YOR306C	142	192	168	101	147	71	181	195	186
YOR307C	195	295	281	154	206	150	184	227	129
YOR308C	126	263	224	127	151	131	128	132	126
YOR310C	2791	5377	4424	2371	3229	2338	3220	3881	2676
YOR311C	322	496	414	258	322	287	293	330	188
YOR312C	4881	10278	8166	5056	6313	5232	6295	7439	4553
YOR313C	15	64	49	24	44	19	36	65	31
YOR315W	622	1190	942	619	808	529	1058	1096	709
YOR316C	383	599	522	305	448	317	261	361	182
YOR316C-A	45	69	32	23	26	21	50	45	41
YOR317W	1640	3001	2477	1410	1997	1396	1320	1586	992
YOR319W	110	226	200	108	121	92	170	162	143
YOR320C	327	759	600	349	534	400	520	513	410
YOR321W	275	579	477	217	422	252	332	462	221
YOR322C	550	1133	874	590	763	530	699	866	579
YOR323C	1833	3658	2918	1586	2431	1778	1748	1881	1382
YOR324C	199	445	333	220	317	275	302	387	235
YOR326W	2608	4374	3993	2244	3216	2109	2730	3073	2105
YOR327C	142	248	231	127	206	129	163	241	116
YOR328W	152	223	250	153	242	148	221	274	188
YOR329C	290	591	457	293	416	234	367	406	245
YOR330C	687	1133	968	540	847	516	646	692	483
YOR332W	2082	4022	3362	2007	2507	1967	2354	2498	1700
YOR334W	107	242	160	95	190	103	125	179	102
YOR335C	5385	9837	8149	4504	6133	4530	4703	5807	3748
YOR336W	617	1071	838	516	729	509	743	764	575
YOR337W	454	786	716	359	510	358	413	501	357
YOR338W	52	89	72	57	53	24	69	47	57
YOR339C	3	15	3	17	9	6	0	8	7
YOR340C	248	569	401	311	406	291	335	425	214
YOR341W	5060	8515	7581	3978	5815	3936	5343	6635	4216
YOR342C	218	519	347	266	309	222	301	257	222
YOR344C	90	135	123	77	94	44	167	227	108
YOR346W	407	668	620	369	513	365	530	581	362
