Genes	ncs2_1	ncs2_2	ncs2_3	uba4_1	uba4_2	uba4_3	WT_1	WT_2	WT_3
YBR180W	0	2	5	1	2	6	4	0	2
YBR181C	16121	29486	24222	14500	18773	14574	17696	22091	14085
YBR182C	50	112	75	58	47	42	60	97	90
YBR182C-A	1	5	4	3	2	1	4	1	0
YBR183W	171	375	265	158	270	162	165	183	122
YBR184W	11	24	9	19	17	11	12	11	6
YBR185C	568	924	834	415	624	431	541	584	505
YBR186W	28	27	1	1	11	7	7	14	5
YBR187W	619	1010	836	507	630	493	612	771	526
YBR188C	75	137	103	53	57	54	70	100	71
YBR189W	22297	35273	32577	16849	23390	16084	23386	30395	19509
YBR191W	6417	12622	10076	6269	8325	6674	8030	9620	5712
YBR192W	340	530	449	214	408	274	402	370	329
YBR193C	66	205	122	75	148	82	106	175	87
YBR194W	108	162	167	124	136	105	125	122	119
YBR195C	288	516	414	268	330	220	229	305	203
YBR196C	6531	11570	9998	5377	7019	4853	6654	8134	5476
YBR196C-A	409	718	630	323	410	319	340	377	250
YBR196C-B	16	25	18	6	14	14	4	23	12
YBR197C	173	321	223	120	190	172	164	168	140
YBR198C	681	1272	1178	571	896	520	694	773	567
YBR199W	846	1525	1475	658	1078	681	897	1128	711
YBR200W	207	526	384	273	271	243	272	343	179
YBR200W-A	0	0	0	0	1	0	0	0	0
YBR201C-A	1	11	8	6	3	0	16	8	2
YBR201W	91	117	107	68	102	60	147	163	114
YBR202W	748	1393	1129	606	917	560	922	1031	635
YBR203W	295	475	412	239	566	360	492	507	329
YBR204C	173	374	285	220	238	220	249	269	175
YBR205W	480	1027	857	496	683	466	643	673	455
YBR207W	646	1098	845	525	756	511	579	713	387
YBR208C	540	1047	971	581	851	623	572	755	505
YBR210W	152	214	179	118	201	117	200	206	133
YBR211C	160	246	229	127	175	112	198	211	180
YBR212W	683	1135	1036	483	829	524	604	896	547
YBR213W	483	930	758	412	603	378	674	609	518
YBR214W	205	311	257	191	243	142	194	232	117
YBR215W	163	278	254	122	197	124	173	224	101
YBR216C	214	403	252	158	281	222	217	289	235
YBR217W	49	79	47	30	77	50	22	50	25
YBR218C	5674	10262	8702	4541	6722	4740	5242	6392	4284
YBR219C	130	217	156	121	133	125	126	118	96
YBR220C	305	584	565	317	401	313	420	475	280
YBR221C	2534	4516	3619	2270	3055	2456	2932	3339	2279
YBR221W-A	3	0	2	0	2	3	0	0	0
YBR222C	313	551	442	340	348	310	439	543	415
YBR223C	86	214	139	102	111	97	119	172	71
