,ORF,WT_glycerol_RNA,WT_glycerol_Ribo
543,YLR418C,777.0,1887.0
544,YER059W,850.0,1074.0
545,YNL076W,1086.0,609.0
546,YBL025W,439.0,358.0
547,YOL066C,1248.0,761.0
548,YDR126W,179.0,114.0
549,YPL216W,1179.0,307.0
550,YOR223W,276.0,1048.0
551,YEL022W,1003.0,872.0
552,YHR072W,1415.0,1638.0
553,YOL019W,147.0,532.0
554,YJL190C,12902.0,7666.0
555,YMR218C,332.0,408.0
556,YNL265C,1126.0,1505.0
557,YNL230C,208.0,242.0
558,YLL049W,1513.0,446.0
559,YHR211W,95.0,1.0
560,YPR166C,11890.0,4427.0
561,YJL042W,896.0,3001.0
562,YNL301C,3232.0,1847.0
563,YMR058W,3009.0,11356.0
564,YDR061W,1453.0,1794.0
565,YJR112W-A,4578.0,118.0
566,YOR290C,1169.0,2161.0
567,YKL114C,1129.0,1223.0
568,YML024W,19388.0,9509.0
569,YML093W,1645.0,1447.0
570,YHR197W,494.0,426.0
571,YDR276C,4335.0,9781.0
572,YLR200W,2125.0,689.0
573,YKR003W,515.0,775.0
574,YLR107W,1444.0,589.0
575,YMR321C,6.0,0.0
576,YER175C,885.0,1040.0
577,YKL135C,1170.0,1363.0
578,YDL183C,1122.0,895.0
579,YMR105W-A,10.0,3.0
580,YMR118C,49.0,4.0
581,YCL049C,667.0,579.0
582,YBL066C,562.0,1693.0
583,YGL107C,1686.0,3072.0
584,YGR271C-A,2389.0,468.0
585,YDR169C,515.0,2270.0
586,YOR057W,1628.0,1071.0
587,YMR272C,627.0,3100.0
588,YPR108W,3190.0,5234.0
589,YKL054C,2847.0,13616.0
590,YGR162W,1466.0,6209.0
591,YDL165W,1936.0,1256.0
592,YDR520C,352.0,473.0
593,YKL023W,890.0,845.0
594,YJR051W,854.0,969.0
595,YNL009W,2196.0,2110.0
596,YFL034W,676.0,735.0
597,YJR135C,1012.0,231.0
598,YLR375W,706.0,1218.0
599,YMR076C,871.0,1392.0
600,YGR205W,304.0,2284.0
601,YKL113C,1425.0,780.0
602,YNL027W,699.0,2479.0
603,YLR291C,1310.0,1325.0
604,YDR210W,736.0,496.0
605,YIL122W,568.0,586.0
606,YDL230W,724.0,540.0
607,YJR113C,9781.0,4796.0
608,YGR024C,2829.0,391.0
609,YIR026C,938.0,648.0
610,YGR097W,322.0,504.0
611,YIL068C,861.0,934.0
612,YCL025C,3795.0,3220.0
613,YNR034W,240.0,1287.0
614,YNL282W,197.0,227.0
615,YBR286W,6800.0,10815.0
616,YGL144C,432.0,147.0
617,YDR190C,2471.0,2943.0
618,YAL031C,351.0,431.0
619,YBL006C,2500.0,943.0
620,YGR108W,844.0,653.0
621,YBR264C,2267.0,433.0
622,YBR231C,1676.0,1251.0
623,YHR076W,2274.0,2072.0
624,YDR462W,3457.0,3972.0
625,YJL148W,1230.0,712.0
626,YIL057C,19829.0,25781.0
627,YPL055C,2001.0,1633.0
628,YLR353W,1242.0,458.0
629,YIL148W,27339.0,12035.0
630,YNR016C,6972.0,34723.0
631,YFR036W,136.0,332.0
632,YHR114W,1369.0,1301.0
633,YGL079W,1057.0,463.0
634,YER150W,732.0,935.0
635,YNL279W,71.0,23.0
636,YDR400W,494.0,673.0
637,YOL027C,2815.0,8281.0
638,YPL257W,278.0,179.0
639,YPL120W,569.0,657.0
640,YOL145C,1639.0,1742.0
641,YJL099W,867.0,551.0
642,YDR034W-B,136.0,51.0
643,YDR395W,1386.0,1455.0
644,YOL110W,825.0,521.0
645,YDR005C,1051.0,1453.0
646,YMR311C,3011.0,4326.0
647,YBL039C,1278.0,1209.0
648,YGR188C,944.0,196.0
649,YOR362C,4860.0,4757.0
650,YLR126C,1097.0,376.0
651,YDL053C,2663.0,3060.0
652,YML074C,2582.0,3935.0
653,YKR062W,881.0,1590.0
654,YBR235W,381.0,327.0
655,YER010C,1893.0,1257.0
656,YML003W,24.0,115.0
657,YMR097C,1518.0,793.0
658,YDL133W,1249.0,564.0
659,YOR131C,3042.0,1102.0
660,YHR096C,3114.0,9090.0
661,YGL249W,64.0,43.0
662,YMR253C,1034.0,507.0
663,YCR102C,13.0,0.0
664,YJL127C-B,1698.0,350.0
665,YOR257W,1863.0,763.0
666,YGR002C,669.0,1373.0
667,YEL041W,1151.0,1359.0
668,YGR075C,305.0,273.0
669,YGR253C,7502.0,5142.0
670,YDR510W,4855.0,4302.0
671,YMR166C,344.0,558.0
672,Q0115,3391.0,102.0
673,YPR045C,537.0,1162.0
674,Q0110,3230.0,94.0
675,YPL231W,6133.0,29270.0
676,YLR148W,890.0,978.0
677,YMR137C,497.0,474.0
678,YDL082W,6515.0,6872.0
679,YKL155C,1771.0,1750.0
680,YBR162W-A,5207.0,1125.0
681,YFL042C,955.0,1867.0
682,YDR148C,7293.0,46042.0
683,YPL096W,802.0,597.0
684,YDR335W,1221.0,1506.0
685,YPR141C,788.0,723.0
686,YMR039C,1538.0,1800.0
687,YOR107W,114.0,59.0
688,YPL078C,14504.0,25974.0
689,YCR095C,1295.0,311.0
690,YLL011W,929.0,785.0
691,YCR077C,799.0,4943.0
692,YLR437C,272.0,152.0
693,YFL064C,1.0,4.0
694,YNL191W,493.0,385.0
695,YDR237W,2392.0,4109.0
696,YJL110C,1141.0,1118.0
697,YKR048C,2832.0,4900.0
698,YBR001C,2094.0,1778.0
699,YPL003W,906.0,300.0
700,YKL108W,364.0,308.0
701,YJR094C,117.0,393.0
702,YJR074W,3547.0,2700.0
703,YPR127W,1251.0,1171.0
704,YIR028W,221.0,53.0
705,YAL012W,577.0,1369.0
706,YMR288W,532.0,850.0
707,YIL156W,493.0,345.0
708,YBR241C,684.0,1334.0
709,YKL006W,12425.0,4116.0
710,YPL156C,2746.0,2139.0
711,YOR153W,2946.0,4973.0
712,YLR187W,193.0,1351.0
713,YDR099W,3071.0,22672.0
714,YKL133C,1207.0,312.0
715,YKL188C,2689.0,2792.0
716,YHR170W,1546.0,1186.0
717,YDR259C,736.0,457.0
718,YKL068W,794.0,2323.0
719,YGR098C,474.0,416.0
720,YKL093W,879.0,3376.0
721,YMR002W,11340.0,35169.0
722,YDL246C,1392.0,220.0
723,YER081W,568.0,41.0
724,YPL178W,2931.0,1728.0
725,YIL096C,1069.0,352.0
726,YFR011C,8716.0,6249.0
727,YIL074C,698.0,1579.0
728,YHR015W,1059.0,347.0
729,YLR457C,429.0,167.0
730,YNL249C,492.0,157.0
731,YGR056W,762.0,1113.0
732,YGL065C,623.0,882.0
733,YOR052C,5439.0,13575.0
734,YGR116W,2300.0,4274.0
735,YGL230C,156.0,67.0
736,YOL159C,778.0,155.0
737,YBR185C,2181.0,4198.0
738,YOR010C,37.0,2.0
739,YDR019C,1549.0,2814.0
740,YBR150C,741.0,878.0
741,YER119C,199.0,613.0
742,YMR196W,1887.0,2977.0
743,YMR161W,270.0,731.0
744,YDR499W,652.0,308.0
745,YKL068W-A,81.0,27.0
746,YJL133C-A,970.0,770.0
747,YCR054C,376.0,364.0
748,YMR322C,21.0,6.0
749,YLL061W,518.0,428.0
750,YDR110W,715.0,528.0
751,YDR419W,255.0,264.0
752,YOR221C,432.0,519.0
753,YPL214C,1082.0,606.0
754,YOL064C,1181.0,821.0
755,YBL023C,288.0,1188.0
756,YOR274W,891.0,694.0
757,YOR329C,1303.0,2360.0
758,YLR005W,859.0,1591.0
759,YDR124W,34.0,17.0
760,YNL267W,1015.0,1058.0
761,YLR050C,1728.0,812.0
762,YNL307C,140.0,3001.0
