ORF,WT_Ribo,ncs2_Ribo,uba4_Ribo,ncs2_RNA,uba4_RNA,WT_RNA
YBR149W,671,638,959,4484,3265,2996
YBR150C,57,68,107,1213,832,1034
YBR151W,129,135,206,1667,1266,1447
YBR152W,20,11,21,314,236,229
YBR153W,67,75,101,753,487,469
YBR154C,442,362,495,1850,1241,1557
YBR155W,163,140,189,1410,991,1265
YBR156C,23,24,20,452,315,355
YBR157C,37,20,16,249,148,193
YBR158W,167,117,192,2492,1995,2379
YBR159W,377,355,420,2662,1849,2125
YBR160W,313,301,304,1460,1125,1230
YBR161W,61,72,98,422,309,248
YBR162C,1807,1477,2021,14284,9700,12103
YBR162W-A,42,19,57,808,787,615
YBR163W,33,23,36,805,614,594
YBR164C,111,112,195,1560,1069,1298
YBR165W,53,37,78,464,357,343
YBR166C,229,244,291,1736,1221,1259
YBR167C,29,15,22,254,168,188
YBR168W,53,20,55,424,310,303
YBR169C,114,66,89,766,583,874
YBR170C,344,311,498,2835,2022,2162
YBR171W,231,202,304,1173,745,805
YBR172C,209,186,292,1776,1253,1366
YBR173C,227,168,283,1191,876,1027
YBR175W,77,76,131,1217,701,697
YBR176W,123,121,179,577,394,390
YBR177C,1002,1128,1494,9117,5655,5437
YBR179C,293,262,360,1834,1259,1521
YBR180W,11,7,3,7,9,6
YBR181C,7749,7178,10109,69829,47847,53872
YBR182C,42,13,21,237,147,247
YBR182C-A,0,0,0,10,6,5
YBR183W,59,69,114,811,590,470
YBR184W,5,6,0,44,47,29
YBR185C,272,254,362,2326,1470,1630
YBR186W,0,0,2,56,19,26
YBR187W,326,264,430,2465,1630,1909
YBR188C,39,32,52,315,164,241
YBR189W,9675,7821,10096,90147,56323,73290
YBR191W,2305,1594,2435,29115,21268,23362
YBR192W,230,210,286,1319,896,1101
YBR193C,89,52,90,393,305,368
YBR194W,28,29,29,437,365,366
YBR195C,192,269,332,1218,818,737
YBR196C,5480,4824,6106,28099,17249,20264
YBR196C-A,138,104,141,1757,1052,967
YBR196C-B,0,0,0,59,34,39
YBR197C,75,78,123,717,482,472
YBR198C,201,282,391,3131,1987,2034
YBR199W,429,395,480,3846,2417,2736
YBR200W,97,86,115,1117,787,794
YBR200W-A,0,0,0,0,1,0
YBR201C-A,1,1,0,20,9,26
YBR201W,26,25,38,315,230,424
YBR202W,326,334,423,3270,2083,2588
YBR203W,112,79,112,1182,1165,1328
YBR204C,83,63,119,832,678,693
YBR205W,401,260,354,2364,1645,1771
YBR207W,301,325,393,2589,1792,1679
YBR208C,91,175,246,2558,2055,1832
YBR210W,30,18,39,545,436,539
YBR211C,69,48,123,635,414,589
YBR212W,223,228,306,2854,1836,2047
YBR213W,319,305,349,2171,1393,1801
YBR214W,49,72,86,773,576,543
YBR215W,51,54,74,695,443,498
YBR216C,47,49,63,869,661,741
YBR217W,2,4,12,175,157,97
YBR218C,3044,3368,4018,24638,16003,15918
YBR219C,22,10,35,503,379,340
YBR220C,93,67,148,1454,1031,1175
YBR221C,1061,973,1563,10669,7781,8550
YBR221W-A,0,0,0,5,5,0
YBR222C,197,144,201,1306,998,1397
YBR223C,40,17,37,439,310,362
YBR225W,58,104,123,1043,739,742
YBR227C,133,104,149,1417,832,972
YBR228W,6,10,12,274,183,209
YBR229C,269,253,391,2387,1843,1828
YBR230C,289,291,555,2464,1800,1752
YBR230W-A,10,13,18,188,159,148
YBR231C,79,101,125,1069,672,754
YBR233W,94,115,126,836,542,610
YBR233W-A,24,20,29,248,240,262
YBR234C,341,294,409,2488,1985,1995
YBR235W,123,121,131,1684,1225,1382
YBR236C,191,186,268,1804,1231,1264
YBR237W,40,25,65,880,646,804
YBR238C,113,127,139,1095,612,817
YBR239C,27,21,25,486,304,340
YBR240C,6,5,5,125,100,103
YBR241C,91,91,114,791,582,520
YBR242W,126,104,138,911,529,763
YBR243C,218,170,294,2330,1609,1770
YBR244W,28,9,22,220,209,299
YBR245C,478,518,684,5538,3678,3768
YBR246W,81,78,149,1280,922,890
YBR247C,270,264,370,2307,1406,1512
YBR248C,1015,1008,1323,7204,4561,4905
YBR249C,2212,2064,3143,10742,7835,7283
YBR250W,3,0,1,34,8,35
YBR251W,237,195,329,1619,1301,1174
YBR252W,356,294,444,2071,1481,1541
YBR253W,32,35,61,865,570,850
YBR254C,145,133,180,840,562,464
YBR255C-A,52,90,102,757,507,458
YBR255W,30,33,47,680,501,539
YBR256C,131,154,235,3369,2706,2130
YBR257W,50,33,54,510,370,432
YBR258C,10,26,21,204,151,178
YBR259W,27,25,35,458,338,318
YBR260C,338,276,350,1888,1318,1412
