ORF,RNA_Prints,Ribo_Prints
YNL299W,917.0,376.0
YOL129W,6420.0,826.0
YEL044W,2009.0,344.0
YMR247C,2968.0,828.0
YOR245C,461.0,294.0
YDR427W,4753.0,1433.0
YML071C,1136.0,282.0
YBR077C,675.0,301.0
YEL068C,438.0,95.0
YDR176W,1114.0,426.0
YMR189W,3100.0,820.0
YDR122W,1190.0,579.0
YER120W,26884.0,1642.0
YNL090W,1759.0,300.0
YBR042C,891.0,535.0
YOL062C,1643.0,845.0
YDR381W,6970.0,1768.0
YGL103W,127472.0,14435.0
YDR484W,1095.0,291.0
YJL194W,697.0,149.0
YMR098C,616.0,326.0
YOR370C,2156.0,1348.0
YGR192C,260249.0,102514.0
YBR095C,1239.0,180.0
YHR111W,2721.0,500.0
YBL045C,3558.0,1063.0
YGL071W,3209.0,653.0
YDR524C,732.0,320.0
YGR043C,121.0,54.0
YPR170W-B,1708.0,799.0
YOR224C,6602.0,1204.0
YDL070W,2953.0,1043.0
YNL193W,991.0,310.0
YCR047C,11083.0,379.0
YMR187C,191.0,134.0
YPL223C,70.0,22.0
YML096W,4980.0,421.0
YPL272C,71.0,69.0
YKL135C,1867.0,763.0
YER064C,7400.0,1347.0
YDR389W,1593.0,431.0
YOL002C,6996.0,458.0
YLR190W,2324.0,566.0
YML111W,1921.0,817.0
YOR359W,911.0,309.0
YLL021W,15497.0,724.0
YKL205W,2352.0,921.0
YLR407W,621.0,133.0
YBR088C,2620.0,832.0
YLR425W,392.0,276.0
YBR055C,894.0,534.0
YOR175C,3859.0,1369.0
YER033C,464.0,109.0
YNL329C,771.0,591.0
YFL005W,4246.0,943.0
YMR128W,9003.0,712.0
YKL110C,992.0,371.0
YMR014W,4696.0,318.0
YML100W-A,7.0,2.0
YPR040W,3961.0,259.0
YGR056W,2237.0,476.0
YMR152W,1125.0,454.0
YPR060C,994.0,574.0
YML057W,1785.0,771.0
YDR178W,824.0,292.0
YKR038C,1788.0,778.0
YGL028C,4688.0,2004.0
YLR288C,297.0,202.0
YCL026C-A,30.0,13.0
YJR004C,293.0,287.0
YCL026C-B,237.0,62.0
YJL115W,2565.0,222.0
YJR073C,1342.0,573.0
YGL004C,1168.0,234.0
YLR204W,677.0,156.0
YML097C,1320.0,283.0
YIR030C,150.0,54.0
YLR055C,4062.0,405.0
YJL055W,2731.0,711.0
YPR102C,10719.0,2985.0
YLR030W,125.0,62.0
YHR193C,64668.0,3762.0
YMR292W,914.0,339.0
YNL044W,1202.0,659.0
YBL099W,18453.0,1724.0
YMR132C,231.0,77.0
YDR303C,2321.0,845.0
YOR281C,3580.0,462.0
YPL008W,557.0,392.0
YOR126C,523.0,251.0
YNL191W,1022.0,222.0
YDL116W,1990.0,786.0
YPL184C,9134.0,919.0
YER034W,36019.0,124.0
YPR153W,151.0,49.0
YMR042W,385.0,120.0
YDR252W,2121.0,56.0
YDR536W,48.0,45.0
YLL003W,409.0,343.0
YJL037W,20.0,6.0
YDR054C,7822.0,464.0
YNL196C,35.0,34.0
YLR409C,5522.0,1264.0
YBR008C,750.0,556.0
YLR081W,49.0,34.0
YCL045C,6715.0,1722.0
YPL088W,175.0,110.0
YJL046W,459.0,212.0
YOR092W,1273.0,337.0
YMR041C,215.0,122.0
YDR221W,2129.0,457.0
YML066C,64.0,50.0
YLR109W,91981.0,16260.0
YMR096W,121.0,105.0
YKR009C,281.0,182.0
YDR078C,118.0,73.0
YOR358W,422.0,101.0
YKL103C,1608.0,434.0
YCR061W,4865.0,455.0
YMR109W,3325.0,968.0
YPL042C,356.0,233.0
YMR078C,850.0,472.0
YLR094C,9288.0,326.0
YDL154W,173.0,170.0
YDR232W,7902.0,1152.0
YNL262W,2447.0,822.0
YDR245W,2354.0,1027.0
YHR088W,1564.0,426.0
YGR276C,1212.0,597.0
YLR390W,207.0,101.0
YBR017C,3933.0,1443.0
YKR014C,3812.0,550.0
YML037C,6586.0,35.0
YDL138W,367.0,246.0
YOR056C,1688.0,572.0
YJR060W,4028.0,466.0
YPR118W,5415.0,1745.0
YLR141W,299.0,161.0
YPR162C,997.0,309.0
YDL089W,1417.0,239.0
YLR178C,366.0,174.0
YHR175W,1355.0,324.0
YGR166W,582.0,303.0
YDL161W,1745.0,401.0
YKL101W,3560.0,1081.0
YKL050C,73.0,65.0
YOR191W,1109.0,506.0
YGR096W,194.0,101.0
YKL055C,202.0,60.0
YDL212W,8047.0,1395.0
YNL161W,1475.0,651.0
YGR184C,2441.0,664.0
YDR096W,1549.0,200.0
YJL126W,521.0,174.0
YPR111W,483.0,193.0
YBR175W,22126.0,429.0
YPL046C,628.0,77.0
YGL099W,5621.0,721.0
YMR251W,72.0,52.0
YFL030W,276.0,89.0
YIL119C,282.0,158.0
YIL002W-A,954.0,232.0
YPL124W,318.0,62.0
YPL193W,1276.0,184.0
YKL196C,4086.0,1020.0
YDR314C,225.0,73.0
YJL144W,58.0,12.0
YLR231C,7935.0,743.0
YBR012W-B,20.0,18.0
YPL011C,1677.0,255.0
YFR021W,684.0,311.0
YKL098W,577.0,295.0
YJR139C,16367.0,5757.0
YKL016C,2181.0,422.0
YBR133C,1636.0,1035.0
YGL017W,1841.0,321.0
YBR162C,15341.0,5716.0
YCR018C,2238.0,204.0
YNL007C,20831.0,1810.0
YIL004C,1753.0,176.0
YPR129W,2408.0,583.0
YKL174C,2750.0,599.0
YJR013W,1152.0,476.0
YJL133W,966.0,387.0
YGR260W,7902.0,1572.0
