Genes	WT_1	WT_2	WT_3	ncs2_1	ncs2_2	ncs2_3	uba4_1	uba4_2	uba4_3
YBL059W	13	27	17	35	13	6	32	19	16
YBL060W	11	25	6	36	21	9	42	14	15
YBL061C	42	54	16	49	24	10	66	26	33
YBL063W	28	53	11	74	31	13	75	35	25
YBL064C	191	219	51	271	212	65	354	304	153
YBL066C	56	60	19	77	34	11	87	43	60
YBL067C	33	55	10	71	28	15	63	45	36
YBL068W	59	54	17	69	42	11	86	50	47
YBL069W	54	93	25	108	52	20	92	61	43
YBL071C-B	0	0	0	0	0	0	0	0	0
YBL071W-A	12	20	5	14	16	5	21	24	16
YBL072C	4028	5562	1514	4638	3172	1065	5461	3786	2433
YBL074C	5	5	1	4	1	0	7	2	4
YBL075C	5	5	1	5	12	3	9	8	12
YBL076C	892	1165	338	1631	828	296	1721	999	829
YBL078C	27	31	3	31	16	3	52	16	34
YBL079W	131	203	66	296	120	54	298	167	142
YBL080C	47	69	21	62	43	11	80	59	51
YBL081W	13	21	4	28	8	5	16	13	13
YBL082C	41	43	16	60	32	12	71	41	34
YBL084C	18	20	4	25	17	2	28	23	14
YBL085W	70	91	18	117	54	13	104	65	46
YBL086C	18	12	7	36	15	6	38	35	22
YBL087C	816	1265	246	760	595	171	1221	690	669
YBL088C	27	21	4	31	12	4	32	15	7
YBL089W	15	14	7	17	25	5	18	11	11
YBL090W	63	86	19	67	51	17	112	65	69
YBL091C	234	303	80	277	135	49	275	256	137
YBL091C-A	13	20	7	16	8	1	25	10	10
YBL092W	1087	1825	519	1840	746	282	2008	943	1039
YBL093C	29	48	6	52	24	4	67	22	32
YBL095W	24	36	5	30	18	7	30	19	26
YBL097W	50	59	22	68	35	13	75	64	40
YBL098W	97	130	50	201	108	27	198	123	95
YBL099W	2786	3855	1244	4779	2451	861	5431	3468	2878
YBL100W-C	1	0	2	2	0	0	2	0	0
YBL101C	70	90	25	113	75	24	157	91	69
YBL102W	24	68	17	95	45	10	124	58	67
YBL103C	21	40	8	58	20	9	41	20	18
YBL104C	95	107	34	142	53	35	145	87	78
YBL105C	72	98	27	122	58	27	149	69	50
YBL106C	25	32	4	25	15	3	32	14	15
YBL107C	61	76	23	88	35	15	89	65	44
YBL108C-A	0	0	0	0	1	0	1	0	0
YBL111C	3	5	7	3	1	1	5	4	8
YBL112C	0	0	0	0	0	0	0	0	0
YBL113C	5	5	0	7	2	1	7	1	6
YBR001C	28	40	22	54	28	14	49	40	23
YBR002C	33	43	12	63	29	11	38	30	24
YBR003W	116	169	45	152	75	26	135	100	57
YBR004C	11	18	6	35	13	9	28	15	15
YBR005W	49	71	16	69	34	11	61	36	31
YBR006W	41	53	12	71	41	13	90	59	38
YBR007C	19	34	9	45	25	7	61	21	9
YBR008C	2	2	3	9	4	2	7	4	2
YBR009C	1086	1440	450	2213	802	380	2286	1030	1042
YBR010W	481	707	166	614	369	109	924	426	382
YBR011C	1833	2601	693	2907	1463	589	3381	1933	1541
YBR013C	0	5	0	2	2	0	4	0	0
YBR014C	46	63	25	67	36	29	128	70	43
YBR015C	199	281	98	245	177	52	238	220	143
YBR016W	40	31	9	39	20	10	58	31	27
YBR017C	161	246	73	278	144	59	311	212	139
YBR018C	0	0	0	1	0	0	0	0	0
YBR019C	0	0	0	0	0	0	1	0	0
YBR020W	0	0	0	0	3	0	0	0	0
YBR021W	43	83	25	135	27	13	91	31	47
YBR022W	21	38	17	34	8	11	45	29	16
YBR023C	128	171	46	168	119	37	237	127	109
YBR024W	28	56	12	25	24	2	45	30	28
YBR025C	665	1046	255	1099	556	202	1438	693	640
YBR026C	34	44	16	77	29	15	77	63	37
YBR028C	24	54	15	43	23	10	45	19	33
YBR029C	416	646	169	634	328	135	587	409	258
YBR030W	18	18	6	33	15	3	39	8	11
YBR031W	4755	6376	1770	6441	3304	1177	6871	4340	3577
YBR033W	14	5	2	16	6	4	25	21	26
YBR034C	183	190	71	252	115	41	246	131	166
YBR035C	257	359	100	376	226	64	481	258	205
YBR036C	286	404	105	361	215	102	488	295	246
YBR037C	85	88	38	100	74	24	113	96	92
YBR038W	162	228	64	287	119	53	276	160	152
YBR039W	686	935	292	989	562	295	1177	832	753
YBR040W	0	0	0	0	0	0	0	0	0
YBR041W	70	106	21	125	64	22	118	77	53
YBR042C	48	70	18	70	36	13	66	29	19
YBR043C	19	24	7	19	10	1	18	19	17
YBR044C	33	47	14	41	30	9	47	27	35
YBR045C	6	7	0	8	2	0	11	4	6
YBR046C	25	39	9	44	13	9	42	21	10
YBR047W	1	5	0	3	0	1	2	3	4
YBR048W	1148	2034	427	1435	924	289	1807	1033	738
YBR049C	115	188	31	231	102	41	267	142	149
YBR050C	5	6	0	5	2	0	10	5	1
YBR052C	166	266	75	234	112	47	310	249	172
YBR053C	115	133	45	102	49	12	114	82	51
YBR054W	16	29	9	7	8	1	21	5	6
YBR055C	37	44	14	72	22	24	62	30	47
YBR056W	49	61	17	73	36	16	67	50	44
YBR056W-A	4	2	1	10	3	2	3	2	4
YBR057C	14	24	9	37	15	7	29	17	17
YBR058C	89	190	73	223	85	29	219	133	88
YBR058C-A	1	8	2	15	9	2	14	6	10
YBR059C	85	140	42	172	84	28	205	112	82
YBR060C	25	38	4	28	29	11	41	17	14
YBR061C	57	79	17	45	36	13	79	42	36
YBR062C	35	31	9	47	22	4	47	29	36
YBR063C	0	0	0	0	0	0	0	0	0
YBR065C	12	30	4	12	13	3	32	19	14
YBR066C	15	37	7	19	13	4	37	16	10
YBR067C	52	76	12	11	9	1	8	2	6
YBR068C	38	27	14	38	19	7	46	20	20
YBR069C	3	7	0	4	0	1	3	6	3
YBR070C	18	29	2	23	21	5	13	11	17
YBR071W	40	49	13	68	29	9	80	39	28
YBR072C-A	0	0	0	0	0	0	0	0	0
YBR072W	47	25	23	34	21	8	46	28	12
YBR073W	114	140	36	145	85	23	176	94	92
YBR074W	116	144	60	153	94	31	177	119	90
YBR076W	0	1	0	0	0	0	1	0	1
YBR077C	24	39	12	36	24	11	60	33	24
YBR078W	1464	1983	568	1738	989	425	2220	1386	1090
YBR079C	849	1227	318	1145	619	218	1295	772	600
YBR080C	154	260	82	259	143	38	344	196	164
YBR081C	80	90	23	98	48	19	100	81	59
YBR082C	635	712	220	705	527	179	934	629	527
YBR083W	49	99	22	67	41	21	72	49	34
YBR084C-A	2590	3805	1160	4424	1730	729	4392	2753	2212
YBR084W	363	547	140	541	278	117	607	331	266
YBR085C-A	89	145	44	149	77	21	169	91	58
YBR085W	4	2	1	1	5	1	2	3	4
YBR086C	211	304	97	232	146	48	269	213	130
YBR087W	64	120	18	85	42	18	119	54	45
YBR088C	353	500	159	539	304	104	550	348	196
YBR089C-A	228	202	76	241	267	39	230	272	104
YBR090C	256	244	94	266	280	41	268	297	120
YBR091C	35	56	19	32	24	3	46	29	24
YBR092C	123	212	44	18	24	3	42	18	22
YBR093C	84	178	26	26	14	5	30	16	13
YBR094W	88	159	42	198	103	40	165	128	97
YBR095C	29	46	15	73	16	6	75	30	30
YBR096W	89	106	31	123	79	20	140	59	68
YBR097W	42	44	20	60	24	10	53	34	28
YBR098W	9	21	2	10	4	5	28	6	14
YBR101C	195	323	72	312	133	58	304	181	159
YBR102C	44	54	17	79	39	16	78	58	48
YBR103W	72	92	29	136	65	17	129	72	59
YBR104W	32	82	11	61	38	9	59	30	22
YBR105C	26	44	11	50	26	8	60	28	33
YBR106W	1040	1589	408	1173	667	256	1502	894	835
YBR107C	1	16	1	3	1	1	6	4	3
YBR108W	31	54	12	46	30	13	66	31	33
YBR109C	401	479	147	464	245	114	460	386	236
YBR110W	58	71	35	118	72	22	103	65	65
YBR111C	147	164	40	235	89	31	250	126	126
YBR111W-A	23	35	2	25	13	3	33	17	15
YBR112C	84	136	48	193	67	22	172	108	110
YBR114W	16	37	6	61	14	2	43	37	36
YBR115C	1113	1425	435	2780	1297	536	2798	1697	1358
YBR117C	0	4	1	1	3	2	4	6	1
YBR118W	47807	70419	19113	56767	35303	13344	65241	42959	32741
YBR119W	10	17	5	9	7	5	21	12	7
YBR120C	123	160	59	222	57	33	148	123	153
