ORF,WT_Ribo,WT_RNA,elp3_Ribo,elp3_RNA,ncs2_Ribo,ncs2_RNA,ncs6_Ribo,ncs6_RNA,uba4_Ribo,uba4_RNA
YDL188C,944,530,456,139,337,164,792,451,951,519
YMR086W,1483,539,784,173,592,212,1248,540,1559,574
YOR034C-A,0,85,0,29,0,18,0,76,0,100
YIL125W,5053,1033,1832,319,1549,369,4138,1018,4721,1065
YNL097C-B,1,15,0,1,1,2,1,11,3,10
YKL148C,1367,366,699,146,465,137,1241,362,1466,357
YJL076W,4398,1280,1890,399,1723,457,4189,1431,4618,1583
YIL077C,264,872,134,234,119,255,243,988,289,950
YHR165C,1336,1400,543,553,440,651,1249,1442,1583,1647
YKL028W,917,1252,475,331,411,373,857,1310,1012,1494
YLR221C,1415,1588,736,516,714,601,1589,1836,1735,1858
YPL165C,4,39,1,7,1,5,2,39,6,35
YKL082C,2198,2501,852,562,717,773,1535,2698,1749,2900
YKL166C,837,1025,395,459,327,445,779,975,868,1019
YJR036C,61,325,33,135,40,112,52,268,66,220
YDL093W,805,593,381,193,270,200,706,456,881,495
YMR024W,1374,763,548,191,506,221,1284,663,1385,839
YMR244C-A,413,561,265,124,201,138,418,615,481,726
YPL038W,449,681,136,135,167,186,341,740,367,750
YOR116C,2595,1215,1225,539,935,588,2691,1601,2967,1476
YLR207W,830,613,346,126,349,141,741,632,977,704
YFR040W,1252,756,517,249,470,236,994,646,1210,657
YIL007C,390,495,170,133,159,133,326,462,336,513
YHL022C,50,67,28,15,18,17,48,53,72,49
YOR061W,1952,1154,928,331,839,373,1962,1166,2252,1236
YGR030C,493,542,186,119,169,90,431,600,518,689
YOR034C,336,535,142,182,82,210,255,421,245,459
YGL094C,727,578,268,232,277,234,658,575,758,622
YJL057C,358,841,177,373,138,401,291,773,343,783
YGR130C,4058,1294,1715,357,1710,487,3394,1613,3610,1570
YGR165W,1206,1306,431,505,394,565,886,1080,998,1080
YGR055W,3202,1349,1123,401,1151,388,3014,1397,3389,1542
YGR031C-A,0,7,0,3,0,1,0,2,2,3
YBR254C,604,704,355,341,278,366,672,760,776,767
YBR136W,315,416,131,136,120,135,272,400,368,387
YER088C,2732,1253,1484,408,1305,433,2988,1370,3292,1440
YJL083W,257,154,86,35,88,37,172,129,186,117
YPL138C,320,742,170,172,128,165,275,857,388,891
YJL141C,808,968,369,502,374,602,926,1315,1058,1287
YKL075C,542,1585,250,642,227,788,455,1572,550,1634
YPL147W,126,416,47,133,29,103,72,299,82,301
YCL011C,3208,4800,1909,1666,1676,1945,3666,5399,4082,5660
YGR187C,2148,1757,1007,509,900,496,2005,1788,2154,1953
YKL101W,2400,1637,858,584,803,631,2068,1642,2290,1729
YCL016C,285,498,178,131,150,141,389,522,349,567
YLL056C,7,207,9,39,9,40,24,170,16,173
YBL032W,4197,1535,1707,298,1346,325,2828,1159,3144,1273
YIL021W,2342,2557,751,481,724,595,1726,2424,1904,2613
YHL048W,273,237,120,50,104,69,320,103,146,276
YLR010C,118,274,59,89,41,126,87,298,88,293
YNL209W,31399,5744,11790,1291,9931,1229,23800,4495,25524,4918
YIL061C,426,268,187,80,136,72,338,264,373,277
YBL009W,1048,496,412,131,343,135,839,439,925,468
YNR046W,1577,571,842,173,798,180,1810,602,2018,705
YHR026W,4060,2467,1921,662,1686,681,3950,2542,4258,2825
YER078W-A,2,7,2,3,0,1,2,5,0,9
YBR281C,1298,615,565,230,489,234,1181,619,1362,603
YDR197W,387,747,152,254,127,233,328,695,645,634
YNL289W,1975,1921,875,413,749,458,1925,2275,2180,2563
YML106W,5925,4192,2380,992,2091,1096,4911,3571,5347,3838
YBR062C,742,784,258,271,334,325,679,924,727,962
YDR098C-B,0,15,0,3,1,7,1,13,0,13
YDR098C-A,0,0,0,0,0,0,0,0,0,0
YBL105C,1482,833,673,307,571,325,1394,782,1713,881
YPL281C,0,0,0,0,0,0,0,0,0,0
YER104W,318,298,154,95,106,90,248,279,262,293
YLR150W,47390,19712,19895,4644,16330,5173,38442,16566,51195,17816
YEL046C,7316,1382,2905,509,2517,611,6512,1428,7049,1457
YLR427W,674,561,358,218,286,235,760,541,838,631
YML008C,8225,3741,3993,709,3656,841,8242,3821,8878,4265
YDL054C,419,303,187,128,189,110,440,289,521,258
YPR019W,1424,878,642,287,570,321,1394,827,1522,881
YMR265C,232,556,112,174,94,201,190,519,230,547
YML073C,37928,18644,16481,3271,14103,3453,31105,16626,32901,17638
YGL137W,10477,3171,6148,1300,5362,1341,12355,3178,14096,3484
YHR143W-A,1385,1204,727,278,599,290,1270,1143,1299,1090
YBR044C,310,746,100,279,80,287,186,587,242,587
YER159C,1172,1471,505,303,516,377,1113,1838,1169,2071
YER122C,5813,2280,2985,744,2690,886,5919,2378,6496,2512
YHR113W,2029,803,729,201,631,226,1271,635,1535,705
YER048W-A,1445,632,594,247,557,270,1243,606,1422,589
YGL041C-B,1,9,0,4,0,6,0,11,2,5
YKL207W,1661,2967,885,500,764,548,1783,3051,1995,3242
YBR298C,5,322,6,151,2,142,4,364,9,360
YER031C,3290,2481,1742,440,1577,497,3268,2356,3637,2407
YMR065W,85,489,34,209,41,202,90,510,114,505
YJR006W,713,966,339,225,318,238,746,984,865,1015
YIR021W,275,449,97,130,105,127,230,421,255,451
YGL002W,420,767,238,197,202,230,444,723,433,755
YLR430W,1381,1367,667,265,543,306,1493,1513,1725,1527
YJL117W,2695,3616,1095,900,1025,1035,2314,3348,2705,3408
YKR041W,45,79,39,12,22,9,43,96,61,111
YHR046C,858,915,441,199,390,183,742,927,794,869
YMR130W,760,739,467,292,364,302,766,772,895,715
