ORF,RNA_Prints,Ribo_Prints,,,,,,,,,,,,,,,,,,,,,,,,,
YBR236C,31674,11389,,,,,,,,,,,,,,,,,,,,,,,,,
YBR237W,26531,6688,,,,,,,,,,,,,,,,,,,,,,,,,
YBR238C,5368,11661,,,,,,,,,,,,,,,,,,,,,,,,,
YBR239C,9016,4100,,,,,,,,,,,,,,,,,,,,,,,,,
YBR240C,1686,692,,,,,,,,,,,,,,,,,,,,,,,,,
YBR241C,14956,12128,,,,,,,,,,,,,,,,,,,,,,,,,
YBR242W,33686,11680,,,,,,,,,,,,,,,,,,,,,,,,,
YBR243C,46439,24079,,,,,,,,,,,,,,,,,,,,,,,,,
YBR244W,70776,41691,,,,,,,,,,,,,,,,,,,,,,,,,
YBR246W,46954,13499,,,,,,,,,,,,,,,,,,,,,,,,,
YBR247C,55605,41554,,,,,,,,,,,,,,,,,,,,,,,,,
YBR248C,73925,61364,,,,,,,,,,,,,,,,,,,,,,,,,
YBR249C,172015,163385,,,,,,,,,,,,,,,,,,,,,,,,,
YBR250W,2873,322,,,,,,,,,,,,,,,,,,,,,,,,,
YBR251W,29104,13654,,,,,,,,,,,,,,,,,,,,,,,,,
YBR252W,54906,42559,,,,,,,,,,,,,,,,,,,,,,,,,
YBR253W,31290,8279,,,,,,,,,,,,,,,,,,,,,,,,,
YBR254C,21515,8196,,,,,,,,,,,,,,,,,,,,,,,,,
YBR255W,24253,6594,,,,,,,,,,,,,,,,,,,,,,,,,
YBR256C,58814,17995,,,,,,,,,,,,,,,,,,,,,,,,,
YBR257W,22907,6285,,,,,,,,,,,,,,,,,,,,,,,,,
YBR258C,7844,3190,,,,,,,,,,,,,,,,,,,,,,,,,
YBR259W,17291,2473,,,,,,,,,,,,,,,,,,,,,,,,,
YBR260C,29733,21665,,,,,,,,,,,,,,,,,,,,,,,,,
YBR261C,47596,42224,,,,,,,,,,,,,,,,,,,,,,,,,
YBR262C,19293,13202,,,,,,,,,,,,,,,,,,,,,,,,,
YBR263W,126573,174809,,,,,,,,,,,,,,,,,,,,,,,,,
YBR264C,23610,8728,,,,,,,,,,,,,,,,,,,,,,,,,
YBR265W,59962,34036,,,,,,,,,,,,,,,,,,,,,,,,,
YBR267W,38240,28371,,,,,,,,,,,,,,,,,,,,,,,,,
YBR268W,32568,25076,,,,,,,,,,,,,,,,,,,,,,,,,
YBR269C,37916,27338,,,,,,,,,,,,,,,,,,,,,,,,,
YBR270C,13335,1683,,,,,,,,,,,,,,,,,,,,,,,,,
YBR271W,27797,12112,,,,,,,,,,,,,,,,,,,,,,,,,
YBR272C,35936,9301,,,,,,,,,,,,,,,,,,,,,,,,,
YBR273C,39352,32575,,,,,,,,,,,,,,,,,,,,,,,,,
YBR274W,26748,6692,,,,,,,,,,,,,,,,,,,,,,,,,
YBR275C,32023,13994,,,,,,,,,,,,,,,,,,,,,,,,,
YBR276C,52541,5686,,,,,,,,,,,,,,,,,,,,,,,,,
YBR278W,22026,6446,,,,,,,,,,,,,,,,,,,,,,,,,
YBR279W,77644,36638,,,,,,,,,,,,,,,,,,,,,,,,,
YBR280C,16662,6684,,,,,,,,,,,,,,,,,,,,,,,,,
YBR281C,34626,22056,,,,,,,,,,,,,,,,,,,,,,,,,
YBR282W,25267,25621,,,,,,,,,,,,,,,,,,,,,,,,,
YBR283C,175244,168529,,,,,,,,,,,,,,,,,,,,,,,,,
YBR284W,6144,864,,,,,,,,,,,,,,,,,,,,,,,,,
YBR285W,2048,341,,,,,,,,,,,,,,,,,,,,,,,,,
YBR286W,510458,500188,,,,,,,,,,,,,,,,,,,,,,,,,
YBR287W,45596,33840,,,,,,,,,,,,,,,,,,,,,,,,,
YBR288C,48217,15817,,,,,,,,,,,,,,,,,,,,,,,,,
YBR289W,44320,21444,,,,,,,,,,,,,,,,,,,,,,,,,
YBR290W,40281,14633,,,,,,,,,,,,,,,,,,,,,,,,,
YBR291C,20141,2733,,,,,,,,,,,,,,,,,,,,,,,,,
YBR293W,17946,1773,,,,,,,,,,,,,,,,,,,,,,,,,
YCL001W,41447,23981,,,,,,,,,,,,,,,,,,,,,,,,,
YCL004W,12381,2378,,,,,,,,,,,,,,,,,,,,,,,,,
YCL005W,22382,4833,,,,,,,,,,,,,,,,,,,,,,,,,
YCL008C,24296,15002,,,,,,,,,,,,,,,,,,,,,,,,,
YCL009C,176312,164641,,,,,,,,,,,,,,,,,,,,,,,,,
YCL010C,23086,9593,,,,,,,,,,,,,,,,,,,,,,,,,
YCL011C,132871,50904,,,,,,,,,,,,,,,,,,,,,,,,,
YCL014W,19945,26766,,,,,,,,,,,,,,,,,,,,,,,,,
YCL016C,18581,6034,,,,,,,,,,,,,,,,,,,,,,,,,
YCL017C,46529,64019,,,,,,,,,,,,,,,,,,,,,,,,,
YCL024W,32909,13230,,,,,,,,,,,,,,,,,,,,,,,,,
YCL026C-A,709,432,,,,,,,,,,,,,,,,,,,,,,,,,
YCL026C-B,5066,5970,,,,,,,,,,,,,,,,,,,,,,,,,
YCL038C,15675,8266,,,,,,,,,,,,,,,,,,,,,,,,,
YCL039W,41912,18705,,,,,,,,,,,,,,,,,,,,,,,,,
YCL043C,453227,699064,,,,,,,,,,,,,,,,,,,,,,,,,
