ORF,RNA_Prints
YIL005W,4359.78667347004
YNR030W,5228.83978836099
Q0055,24560.7486032951
YBR265W,5990.41494078101
YGL131C,3470.73496566461
YDL162C,32.0368680099593
YNR040W,2632.59467846175
YHR033W,1748.08601990152
YDR246W-A,54.375570367387
YNR034W,1773.63397082415
YHL046W-A,39.5274756050048
YEL076C,193.568901490005
YDL071C,87.3321310812869
YOR173W,1416.23249292777
YOR337W,3326.68428396695
YNL181W,5167.37803885375
YGL104C,1789.73455059872
YGR243W,2822.55622924188
YDR164C,3868.65585883127
YOR107W,849.132574827046
YDR464W,6295.43816217187
YGR210C,8767.65975677243
YOR168W,33808.4754684774
YLR012C,18.4947887483072
YNL002C,20280.9975885045
YLR054C,269.365281457239
YNL294C,4497.5406029047
YHR193C,45403.1292714652
YOR005C,2232.51726191387
YPR147C,4074.04992928006
YBR092C,12094.1521696461
YOR242C,372.171413520608
YJL028W,8.18497934152287
YLR077W,4557.99835466233
YCR081W,3232.55631296993
YOR396C-A,162.478851337289
YLR458W,18.2432119595374
YBL040C,8683.65242057639
YJR127C,5417.15006308797
YJL176C,5793.96982172906
YLR453C,1100.1463991877
YCR007C,988.473165115813
YHR128W,13708.7794163893
YOR297C,2393.14089550516
YDR225W,50332.7750978942
YPR020W,5025.18484194221
YJR003C,5435.4069848743
YHR136C,5381.35817403936
YIL101C,863.087196744744
YPR114W,7186.94284572788
YPL189W,527.525255546563
YJL056C,3447.7356526503
YPR169W-A,5093.39259988984
YLR264C-A,3117.16074859096
YPL247C,2815.92147474846
YDR482C,2054.23339497891
YJL122W,7167.59934553143
YBL058W,11420.3236508825
YLL039C,10471.3249235293
YKL107W,143.022756784059
YCL017C,7398.18516204144
YER085C,68.9528272256784
YMR186W,128563.804965139
YCR065W,4492.54830692976
YOR388C,70.1514803937404
YLR002C,8171.29462464863
YFL045C,43614.5748038131
YPR091C,4750.63305252237
YOL083W,1091.41201261704
YLR307C-A,50.970444204442
YDR366C,1901.7290291139
Q0065,18676.8998364208
YER190C-A,183.570455854039
YDR545C-A,162.734003163002
YNL020C,2226.13712066731
YGL125W,4012.65488954645
YKR038C,28675.9832066813
YDL215C,7876.56512670954
YLR354C,41260.1041202876
YCR022C,48.8170880700488
YFR008W,1323.06240781598
YDR284C,5844.80684545487
YFL013C,4013.54436937905
YKL051W,2189.03494386655
YPR174C,1768.000982374
YMR091C,7720.44906369626
YJL143W,8016.5345138565
YDR112W,46.6854323697084
YGR057C,2277.94457962222
YKL194C,2400.22309780283
YLR308W,20.1733550409165
YBR065C,1800.20424778672
YMR029C,5150.76313440407
YHL042W,315.560047043648
YPR121W,1909.00502852964
YNL068C,4229.95327730618
YLR156C-A,6.41993553362506
YGL157W,5749.50445175095
YGL178W,3037.08825308574
YMR148W,1229.50911627231
YML058W,18992.4341053195
YLR249W,540550.544094068
YGR019W,5043.11760005929
YJL049W,3079.18858610144
YBR263W,17883.1804502793
YOR249C,3158.7286098723
YBL097W,2177.77926481559
YCR020W-B,3366.32608823179
YPR044C,11011.6078390854
YDR286C,1391.54868916236
YDR170W-A,1895.57868520131
YLR342W-A,1245.89407927149
YGR027W-A,13142.5707698953
YBL043W,342.193348613346
YLR018C,4828.03489192277
YMR076C,5033.3304843057
YOR251C,5732.92002059863
YAR070C,40.8731550851009
YBR124W,31.9280498145601
YJR135W-A,4478.0925815813
YOR186W,125.729632254279
YDR083W,7307.43257730089
YOR011W-A,7.80625797323396
YOR267C,5229.3641429106
YLR109W,146402.879531716
YOR032C,368.802647193421
YOR091W,8209.94628477318
YKR059W,24194.8390559934
YBR205W,9351.13851085053
YLR316C,2862.92699613139
YDR406W-A,117.359926485735
YLR292C,7355.44770299948
YLR216C,20218.4896754407
YCR044C,4530.50649366021
YDR046C,11351.6507696987
YGR069W,42.471145055905
YJL092W,4106.05957741578
YML018C,6783.77015507097
YDR096W,2867.61766405955
YLR445W,39.674568057793
YOR369C,345023.380014229
YOR138C,5091.39964342237
YJR145C,75397.7481123795
YGR246C,4328.87365235667
YJR138W,4491.87527252049
YHR059W,2454.4094422679
YLR138W,8313.98270404494
YHL009W-B,1531.06406243192
YDR098C-B,34237.7989978704
YNL106C,2769.07962214857
YNL156C,7207.04402237588
YNL286W,2867.96248854736
YNL093W,86.5216010929794
YIL040W,3649.79523985622
YKL104C,16090.6278061883
YLR186W,9194.84939560349
YGL134W,2891.34584930553
YDR425W,1950.11493359589
YJR094W-A,85599.4739843962
YDR293C,12997.1795397924
YBL113W-A,155.00675700316
YNR015W,4227.65245939233
YKL006W,59620.3670212722
YLR456W,1426.46634240651
YDR448W,3658.85697694872
YIL166C,633.83244546673
YER184C,1502.35132653206
YDR097C,5914.45628903742
YJL047C-A,101514.521115575
YJL066C,2093.24164059155
YOR194C,6169.8263414828
YLR368W,3368.11354019753
YKL095W,1295.81505775901
YGR060W,27205.3872936227
YHR041C,3589.15690984032
YCR097W,3506.75175950468
