ORF,RNA_Prints,Ribo_Prints
YDL159W,543,70
YDL159W-A,64,1
YDL160C,2319,352
YDL160C-A,448,75
YDL161W,1080,191
YDL164C,1157,192
YDL165W,652,94
YDL166C,1227,183
YDL167C,1302,148
YDL168W,2167,556
YDL169C,156,24
YDL170W,1060,87
YDL171C,38291,5581
YDL173W,1463,146
YDL174C,11030,2354
YDL175C,366,46
YDL176W,541,39
YDL177C,122,11
YDL178W,2475,458
YDL179W,948,128
YDL180W,761,104
YDL181W,3553,490
YDL182W,26022,6087
YDL183C,231,50
YDL184C,21172,2283
YDL185W,31793,5034
YDL186W,1,0
YDL188C,2785,408
YDL189W,1235,89
YDL190C,2211,303
YDL191W,37268,5471
YDL192W,13059,2410
YDL193W,917,157
YDL194W,563,33
YDL195W,8594,1102
YDL197C,642,23
YDL198C,3634,759
YDL199C,276,35
YDL200C,450,44
YDL201W,713,124
YDL202W,1288,287
YDL203C,724,66
YDL204W,208,26
YDL205C,3577,411
YDL206W,485,29
YDL207W,1344,89
YDL208W,1508,161
YDL209C,455,42
YDL210W,39,7
YDL211C,173,12
YDL212W,3130,726
YDL213C,1009,186
YDL214C,86,8
YDL215C,1386,167
YDL216C,241,23
YDL217C,908,97
YDL218W,26,0
YDL219W,363,34
YDL220C,524,49
YDL222C,89,2
YDL223C,474,15
YDL224C,1347,126
YDL225W,1546,337
YDL226C,2596,423
YDL227C,3252,1007
YDL229W,132767,30687
YDL230W,464,68
YDL231C,1321,14
YDL232W,1085,24
YDL233W,450,67
YDL234C,1012,130
YDL235C,1012,136
YDL236W,2683,504
YDL237W,2294,311
YDL238C,508,34
YDL239C,286,8
YDL240W,1095,72
YDL241W,186,19
YDL243C,394,8
YDL244W,87,12
YDL245C,30,1
YDL246C,263,6
YDL247W,195,6
YDL248W,1878,266
YDR001C,2347,335
YDR002W,5081,1806
YDR003W,600,66
YDR003W-A,471,48
YDR004W,682,32
YDR005C,509,72
YDR006C,1240,87
YDR007W,1205,158
YDR009W,361,46
YDR011W,6747,666
YDR012W,60350,12350
YDR013W,846,114
YDR014W,326,35
YDR014W-A,7,0
YDR016C,483,51
YDR017C,1473,145
YDR018C,304,10
YDR019C,7069,1547
YDR020C,359,75
YDR021W,306,60
YDR022C,1976,28
YDR023W,8944,1998
YDR025W,25122,4065
YDR026C,978,49
YDR027C,1274,115
YDR028C,5026,360
YDR030C,330,30
YDR031W,560,96
YDR032C,2343,745
YDR033W,10346,3042
YDR034C,2116,62
YDR034C-A,2520,2
YDR034W-B,80,2
YDR035W,2709,525
YDR036C,420,97
YDR037W,4596,908
YDR038C,437,41
YDR039C,459,46
YDR040C,503,54
YDR041W,1927,336
YDR042C,36,3
YDR043C,573,91
YDR044W,1053,253
YDR045C,309,23
YDR046C,293,33
YDR047W,1201,289
YDR049W,960,94
YDR050C,54007,15927
YDR051C,933,183
YDR052C,1057,78
YDR054C,1913,347
YDR055W,2333,498
YDR056C,704,129
YDR057W,685,103
YDR058C,266,59
YDR059C,451,52
YDR060W,4969,544
YDR061W,2065,287
YDR062W,5315,750
YDR063W,763,63
YDR064W,39916,5520
YDR065W,287,31
YDR066C,90,7
YDR067C,342,44
YDR068W,812,100
YDR069C,614,36
YDR070C,52,3
YDR071C,1142,397
YDR072C,1493,247
YDR073W,375,34
YDR074W,3077,482
YDR075W,882,132
YDR076W,245,12
YDR077W,4821,1979
YDR078C,310,27
YDR079C-A,269,24
YDR079W,444,122
YDR080W,917,119
YDR081C,891,151
YDR082W,384,8
YDR083W,1138,148
YDR084C,949,156
YDR085C,464,27
YDR086C,3055,289
YDR087C,1310,263
YDR088C,556,70
YDR089W,1336,147
YDR090C,675,114
YDR091C,5005,1339
YDR092W,805,214
YDR093W,4344,330
YDR096W,1621,171
YDR097C,2579,343
YDR098C,2241,395
YDR099W,7463,1769
YDR100W,591,126
YDR101C,4113,889
YDR103W,791,82
YDR104C,676,62
YDR105C,1077,219
YDR106W,38,12
YDR107C,839,86
YDR108W,484,105
YDR109C,831,49
YDR110W,813,90
YDR111C,541,43
YDR113C,606,172
YDR114C,4,0
YDR115W,799,110
YDR116C,528,104
YDR117C,938,137
YDR118W,544,50
YDR119W,2582,336
YDR119W-A,272,58
YDR120C,2066,348
YDR121W,538,68
YDR122W,1721,162
YDR123C,613,37
YDR124W,44,4
YDR125C,102,6
YDR126W,544,40
YDR127W,16631,2518
YDR128W,1899,101
YDR129C,5327,1243
YDR130C,380,33
YDR131C,294,30
YDR132C,297,46
YDR135C,8154,876
YDR137W,720,67
YDR138W,670,120
YDR139C,829,147
YDR140W,700,78
YDR141C,3208,323
YDR142C,725,69
YDR143C,912,122
YDR144C,1123,159
YDR145W,1313,157
YDR146C,1410,127
YDR147W,790,127
YDR148C,6690,1125
YDR150W,27520,2211
YDR151C,471,67
YDR152W,1445,171
YDR153C,888,215
YDR155C,21820,8311
YDR156W,821,1183
YDR158W,12502,2458
YDR159W,1384,85
YDR160W,384,13
YDR161W,1119,162
YDR162C,192,29
YDR163W,268,17
YDR164C,1266,230
YDR165W,1786,336
YDR166C,908,117
YDR167W,1111,187
YDR168W,2069,440
YDR169C,880,86
YDR169C-A,26,0
YDR170C,10997,860
YDR171W,847,201
YDR172W,7849,1256
YDR173C,309,28
YDR174W,4359,592
YDR175C,1730,336
YDR176W,1025,95
YDR177W,1627,381
YDR178W,3888,719
YDR179C,118,20
YDR179W-A,189,13
YDR180W,1188,108
YDR181C,497,40
YDR182W,1778,219
YDR182W-A,212,11
YDR183W,405,29
YDR184C,625,82
YDR185C,63,4
YDR186C,1677,93
YDR188W,11730,1870
YDR189W,1663,263
YDR190C,2358,559
YDR191W,268,38
YDR192C,399,59
YDR194C,8090,1354
YDR194W-A,85,0
YDR195W,760,107
YDR196C,913,59
YDR197W,578,44
YDR198C,492,86
YDR200C,946,72
YDR201W,587,85
YDR202C,332,54
YDR204W,639,78
YDR205W,632,119
YDR206W,1671,76
YDR207C,892,75
YDR208W,1905,234
YDR210W,2204,36
YDR211W,4244,527
YDR212W,7241,1709
YDR213W,745,56
YDR214W,4784,594
YDR216W,2812,273
YDR217C,1424,105
YDR218C,22,4
YDR219C,771,94
YDR221W,1957,205
YDR222W,256,16
YDR223W,41,3
YDR224C,7417,1494
YDR225W,3433,463
YDR226W,13360,4753
YDR227W,1169,73
YDR228C,608,68
YDR229W,702,131
YDR231C,1129,168
YDR232W,6635,1039
YDR233C,6086,1683
YDR234W,10741,2186
YDR235W,430,48
YDR236C,371,49
YDR237W,1766,326
YDR238C,7027,1215
YDR239C,896,60
YDR240C,359,46
YDR242W,301,11
YDR243C,499,39
YDR244W,1207,184
YDR245W,2118,325
YDR246W,537,90
YDR246W-A,55,5
YDR247W,538,62
YDR248C,1043,119
YDR249C,299,7
YDR251W,1740,174
YDR252W,168,37
YDR253C,567,15
YDR254W,424,34
YDR255C,412,24
YDR256C,106,3
YDR257C,886,99
YDR258C,2745,563
YDR259C,202,18
YDR260C,782,46
YDR261C,1581,116
YDR262W,2082,195
YDR263C,125,7
YDR264C,3381,341
YDR265W,397,41
YDR266C,1312,140
YDR267C,1112,169
YDR268W,933,239
YDR270W,895,140
YDR272W,1338,342
YDR273W,97,6
YDR275W,292,9
YDR276C,2991,914
YDR277C,1755,158
YDR279W,558,67
YDR280W,1220,146
YDR281C,404,16
YDR282C,658,67
YDR283C,2344,162
YDR284C,1286,360
YDR285W,146,11
YDR286C,173,20
YDR287W,318,51
YDR288W,467,47
YDR289C,431,86
YDR291W,1215,74
YDR292C,2420,335
YDR293C,6431,539
YDR294C,2620,473
YDR295C,1176,170
YDR296W,2261,502
